word,clue,length
ФЕРМА,Господарство для вирощування худоби чи рослин,5
НИВА,Засіяна ділянка землі,4
РІЛЛЯ,Зорана земля, готова до сівби,5
ЦІЛИНА,Земля, яку ще ніколи не орали,6
ЗАСІВ,Процес висівання насіння,5
СІВБА,Процес висівання насіння в ґрунт,5
ЖНИВА,Час збирання врожаю зернових,5
ОБМОЛОТ,Відділення зерна від колоска,7
СОЛОМА,Стебла злаків після обмолоту,6
СІНО,Висушена трава для корму худобі,4
СТІГ,Купа сіна чи соломи просто неба,4
ТРАКТОР,Потужна машина для оранки й тяги,7
ПЛУГ,Знаряддя для оранки землі,4
БОРОНА,Знаряддя для розпушування землі після оранки,6
СІВАЛКА,Машина для висівання насіння рядками,7
ЗРОШЕННЯ,Штучне зволоження полів водою,8
ПАСОВИСЬКО,Луг для випасання худоби,10
ЗАГІН,Огороджена ділянка для худоби,5
ЧЕРЕДА,Гурт великої рогатої худоби,7
ПАСТУХ,Той, хто пасе худобу,6
