word,clue,length
МЕТЕЛИК,Комаха з барвистими крилами, що літає над квітами,7
ГУСІНЬ,Личинка метелика,6
ЛЯЛЕЧКА,Стадія розвитку комахи перед перетворенням,7
КУКОЛКА,Нерухома стадія розвитку комахи в оболонці,7
БАБКА,Комаха з двома парами прозорих крил біля води,5
ЦВІРКУН,Комаха, що сюрчить вночі,7
КОНИК,Стрибуча комаха з довгими задніми лапками,5
СВІТЛЯЧОК,Комаха, що світиться в темряві,9
СОНЕЧКО,Кругла червона комаха з чорними цятками,7
МУРАШКА,Дрібна працьовита комаха, що живе колонією,7
ТЕРМІТ,Комаха, що будує величезні земляні споруди,6
ВОШ,Дрібний паразит на волоссі,3
БЛОХА,Дрібна стрибуча комаха-паразит,5
КЛІЩ,Павукоподібний паразит, що п'є кров,4
ГНИДА,Яйце воші,5
