word,clue,length
ШКОЛА,Заклад для навчання дітей,5
ГІМНАЗІЯ,Навчальний заклад підвищеного рівня,8
ЛІЦЕЙ,Навчальний заклад для старшокласників,5
УНІВЕРСИТЕТ,Найвищий навчальний заклад,11
КОЛЕДЖ,Заклад середньої спеціальної освіти,6
АКАДЕМІЯ,Вищий навчальний заклад чи товариство науковців,8
ДИТСАДОК,Заклад для найменших дітей до школи,8
ГУРТОЖИТОК,Житло для студентів чи робітників,10
УРОК,Навчальне заняття певної тривалості,4
ПЕРЕРВА,Відпочинок між уроками,7
ПІДРУЧНИК,Книга з навчальним матеріалом предмета,9
ДОВІДНИК,Книга для швидкого пошуку потрібних фактів,8
СЛОВНИК,Книга з поясненням слів,7
ЕНЦИКЛОПЕДІЯ,Книга зі знаннями з усіх галузей,12
ДОМАШНЄ,Завдання для виконання поза школою,7
КОНТРОЛЬНА,Письмова перевірка знань,10
ІСПИТ,Підсумкова перевірка знань,5
ЗАЛІК,Спрощена форма підсумкової перевірки,5
ОЦІНКА,Числове вираження рівня знань,6
АТЕСТАТ,Документ про закінчення школи,7
ДИПЛОМ,Документ про закінчення вишу,6
ОДНОКЛАСНИК,Той, хто вчиться в одному класі,11
ОДНОКУРСНИК,Той, хто навчається на одному курсі,11
СТУДЕНТ,Той, хто навчається у виші,7
ШКОЛЯР,Той, хто навчається у школі,6
ОДНОГРУПНИК,Той, хто в одній навчальній групі,11
КЛАС,Група учнів одного року навчання,4
ГРУПА,Об'єднання студентів для занять,5
КУРС,Рік навчання у виші,4
ФАКУЛЬТЕТ,Підрозділ вишу за напрямом навчання,9
КАФЕДРА,Підрозділ факультету за дисципліною,7
АУДИТОРІЯ,Приміщення для лекцій і занять,9
ЛЕКЦІЯ,Усний виклад матеріалу викладачем,6
СЕМІНАР,Практичне заняття з обговоренням,7
ЛАБОРАТОРНА,Практичне заняття з дослідами,11
КАНІКУЛИ,Тривала перерва в навчанні,8
ДЗВІНОК,Сигнал початку чи кінця уроку,7
ДОШКА,Поверхня для письма крейдою в класі,5
АБЕТКА,Порядок літер мови,6
АЗБУКА,Інша назва порядку літер мови,6
ГРАМАТИКА,Правила побудови мови,9
ОРФОГРАФІЯ,Правила написання слів,10
ДИКТАНТ,Письмова робота під диктування,7
ПЕРЕКАЗ,Письмовий виклад прочитаного своїми словами,7
СПИСУВАННЯ,Недозволене копіювання чужої роботи,10
ШПАРГАЛКА,Прихована підказка на іспиті,9
