word,clue,length
ІГРАШКА,Предмет для дитячої гри,7
ЛЯЛЬКА,Іграшка у вигляді людини,6
ВЕДМЕДИК,М'яка іграшка у вигляді звірятка,8
КУБИКИ,Іграшкові блоки для будування,6
ПАЗЛ,Картинка з елементів, що складається докупи,4
КОНСТРУКТОР,Набір деталей для складання моделей,11
ДЗИҐА,Іграшка, що обертається на вістрі,5
ПОГРЕМУШКА,Дитяча іграшка з брязкотом,10
СКАКАЛКА,Мотузка для стрибків,8
ГОЙДАЛКА,Дитячий майданчиковий пристрій, що хитається туди-сюди,8
ПІСОЧНИЦЯ,Огороджене місце з піском для дітей,9
ЗМІЙ,Іграшка, що літає на нитці за вітром,4
ЛЕГО,Конструктор із пластикових деталей, що з'єднуються,4
ГОЛОВОЛОМКА,Задача чи іграшка на кмітливість,11
КУБИК,Гральний предмет із шести граней із цифрами,5
ФІШКА,Ігровий жетон на дошці,5
КАРТИ,Набір мальованих аркушів для настільних ігор,5
ЛОТО,Настільна гра з номерами й картками,4
МОНОПОЛІЯ,Настільна економічна гра з нерухомістю,9
ЕРУДИТ,Настільна гра зі складання слів на дошці,6
ДЖЕНГА,Гра з витягування дерев'яних брусків із вежі,6
КРОКЕТ,Гра з биттям кульок молотком через ворітця,6
ХОВАНКИ,Дитяча гра з пошуком того, хто заховався,7
САЛОЧКИ,Дитяча гра з доганянням і торканням,7
ГОРОДКИ,Гра з вибиванням фігур биткою,7
