word,clue,length
УКРАЇНЕЦЬ,Чоловік, що народився в Україні,9
ПОЛЯК,Чоловік з Польщі,5
НІМЕЦЬ,Чоловік з Німеччини,6
ФРАНЦУЗ,Носій мови зі столицею Париж,7
АНГЛІЄЦЬ,Мешканець туманного Альбіону,8
ІСПАНЕЦЬ,Носій мови кориди й фламенко,8
ІТАЛІЄЦЬ,Мешканець чобітоподібного півострова,8
ГРЕК,Чоловік з Греції,4
ТУРОК,Чоловік з Туреччини,5
АМЕРИКАНЕЦЬ,Чоловік зі Сполучених Штатів,11
КАНАДЕЦЬ,Мешканець країни з кленовим листком на прапорі,8
МЕКСИКАНЕЦЬ,Носій мови текіли й маріачі,11
БРАЗИЛЕЦЬ,Мешканець найбільшої країни Південної Америки,9
ЯПОНЕЦЬ,Чоловік з Японії,7
КИТАЄЦЬ,Чоловік з Китаю,7
ІНДІЄЦЬ,Чоловік з Індії,7
КОРЕЄЦЬ,Чоловік з Кореї,7
АВСТРАЛІЄЦЬ,Мешканець континенту з кенгуру,11
ЄГИПТЯНИН,Нащадок будівничих пірамід біля Нілу,9
ІЗРАЇЛЬТЯНИН,Мешканець землі біля Мертвого моря,12
ІНДОНЕЗІЄЦЬ,Мешканець найбільшого острівного архіпелагу,11
ГОЛЛАНДЕЦЬ,Чоловік з Нідерландів,10
ШВЕЙЦАРЕЦЬ,Мешканець країни годинників серед Альп,10
АВСТРІЄЦЬ,Мешканець батьківщини Моцарта,9
ШВЕД,Чоловік зі Швеції,4
НОРВЕЖЕЦЬ,Мешканець країни фіордів,9
ФІНН,Чоловік з Фінляндії,4
ДАТЧАНИН,Чоловік з Данії,8
ПОРТУГАЛЕЦЬ,Носій мови фаду на заході Піренейського півострова,11
ЧЕХ,Мешканець країни з Празьким Градом,3
СЛОВАК,Мешканець гірської країни з Татрами,6
УГОРЕЦЬ,Чоловік з Угорщини,7
РУМУН,Носій латинської за походженням мови в Карпатах,5
БОЛГАРИН,Мешканець країни трояндової олії,8
ХОРВАТ,Мешканець курортної країни на Адріатиці,6
СЕРБ,Мешканець балканської країни зі столицею Белград,4
