word,clue,length
БАРХАН,Рухома піщана дюна серпоподібної форми,6
ОАЗИС,Зелена ділянка з водою серед пустелі,5
ДЮНА,Пагорб з піску, наметений вітром,4
КАКТУС,Колюча рослина, що накопичує воду,6
ВЕРБЛЮД,В'ючна тварина пустелі з горбом,7
МІРАЖ,Оманливе видіння в спекотному повітрі,5
СКОРПІОН,Отруйна членистонога тварина пустелі,8
ПІСОК,Дрібні сипучі зерна гірської породи,5
СОЛОНЧАК,Ділянка землі, вкрита сольовою кіркою,8
ЯЩІРКА,Мешканка пустельних скель,6
СПЕКА,Виснажливо висока температура повітря,5
БУРЯ,Піщана ..., що піднімає хмари піску,4
КАРАВАН,Група подорожніх з в'ючними тваринами,7
СУХОВІЙ,Гарячий сухий вітер степів і пустель,7
САМУМ,Раптовий палючий вітер із піском,5
