word,clue,length
ЯБЛУКО,Найпоширеніший садовий фрукт круглої форми,6
ГРУША,Садовий фрукт видовженої форми,5
СЛИВА,Темно-фіолетовий кістянковий фрукт,5
ВИШНЯ,Кисло-солодка червона кістянка,5
ЧЕРЕШНЯ,Солодша й більша родичка вишні,7
АБРИКОС,Оранжевий кістянковий фрукт,7
ПЕРСИК,Пухнастий соковитий кістянковий фрукт,6
БАНАН,Жовтий видовжений тропічний фрукт,5
АПЕЛЬСИН,Цитрус з оранжевою шкіркою,8
МАНДАРИН,Дрібний солодкий цитрус,8
ЛИМОН,Кислий жовтий цитрус,5
ГРЕЙПФРУТ,Гіркуватий великий цитрус,9
КІВІ,Волохатий зелений усередині фрукт,4
АНАНАС,Тропічний фрукт із твердою лускатою шкіркою,6
ГРАНАТ,Фрукт, повний дрібних соковитих зернят,6
МАНГО,Соковитий тропічний фрукт з великою кісточкою,5
АВОКАДО,Масляниста тропічна ягода з великою кісточкою,7
КАВУН,Великий смугастий літній плід з червоною м'якоттю,5
ДИНЯ,Солодкий баштанний плід із сітчастою шкіркою,4
ВИНОГРАД,Грона дрібних соковитих ягід,8
ПОЛУНИЦЯ,Червона ароматна ягода на грядці,8
МАЛИНА,Дрібна ягода з кісточками кущів,6
ОЖИНА,Темна ягода, схожа на малину,5
СМОРОДИНА,Дрібна кущова ягода, чорна чи червона,9
ЖУРАВЛИНА,Кисла болотяна ягода,9
БРУСНИЦЯ,Дрібна кисла лісова ягода,8
ЧОРНИЦЯ,Дрібна темна лісова ягода,7
ШОВКОВИЦЯ,Довгаста темна ягода з дерева,9
АЙВА,Твердий ароматний плід, схожий на грушу,4
ІНЖИР,Солодкий плід смоковниці,5
ХУРМА,Помаранчевий терпкий восени плід,5
ФЕЙХОА,Зелений плід із запахом ананаса,6
ЛІЧІ,Дрібний тропічний плід з рожевою шкіркою,4
ПОМЕЛО,Найбільший з цитрусів,6
КАРТОПЛЯ,Бульба, що йде на пюре чи фрі,8
МОРКВА,Оранжевий коренеплід,6
БУРЯК,Темно-бордовий коренеплід для борщу,5
ЦИБУЛЯ,Гострий коренеплід, від якого течуть сльози,6
ЧАСНИК,Гострий пряний коренеплід зубчиками,6
КАПУСТА,Овоч із щільними шаруватими листками,7
ОГІРОК,Зелений соковитий овоч для салату,6
ПОМІДОР,Червоний соковитий овоч, часто званий ягодою,7
ПЕРЕЦЬ,Гострий чи солодкий стручковий овоч,6
БАКЛАЖАН,Темно-фіолетовий довгастий овоч,8
КАБАЧОК,М'який довгастий літній овоч,7
ГАРБУЗ,Великий помаранчевий осінній овоч,6
РЕДИС,Дрібний гострий рожевий коренеплід,5
РЕДЬКА,Гострий білий чи чорний коренеплід,6
РІПА,Круглий білий коренеплід,4
ПЕТРУШКА,Запашна зелень для присмачення страв,8
КРІП,Пахуча зелень для соління огірків,4
САЛАТ,Листова зелень для гарніру,5
ШПИНАТ,Темно-зелена листова городина,6
СЕЛЕРА,Пахуча коренева й листова городина,6
СПАРЖА,Молоді пагони делікатесної городини,6
БРОКОЛІ,Зелений овоч у формі маленьких дерев,7
КУКУРУДЗА,Злак із жовтими зернами на качані,9
ГОРОХ,Круглі зелені насінини у стручку,5
КВАСОЛЯ,Бобова культура з різнокольоровими насінинами,7
СОЧЕВИЦЯ,Дрібна бобова культура для супів,8
ПШЕНИЦЯ,Основний хлібний злак,7
ЖИТО,Злак для чорного хліба,4
ОВЕС,Злак для каші й пластівців,4
ЯЧМІНЬ,Злак для перлової крупи й пива,6
ГРЕЧКА,Трикутне зерно для розсипчастої каші,6
БОРОШНО,Продукт помелу зерна для випічки,7
КРУПА,Дроблене чи ціле зерно для каші,5
МАКАРОНИ,Вироби з тіста різної форми,8
СПАГЕТІ,Довга тонка паста,7
ЛОКШИНА,Тонкі смужки тіста для супу,7
ХЛІБ,Випечений виріб із борошна на щодень,4
БАТОН,Довгастий білий хліб,5
БУЛКА,Невеликий круглий хлібний виріб,5
БАГЕТ,Довгий французький хліб з хрусткою скоринкою,5
КЕКС,Здобна випічка з родзинками,4
ПРЯНИК,Медове печиво з прянощами,6
КОРОВАЙ,Обрядовий весільний хліб,7
ПАЛЯНИЦЯ,Круглий український хліб,8
МОЛОКО,Білий поживний напій від корови,6
ВЕРШКИ,Жирна верхня частина молока,6
СМЕТАНА,Кисломолочний продукт для заправки борщу,7
ЙОГУРТ,Кисломолочний продукт із заквасками,6
КЕФІР,Кисломолочний напій із грибків,5
РЯЖАНКА,Топлене кисломолочне молоко,7
СИР,Продукт із згорнутого молока,3
МАСЛО,Жирний молочний продукт для бутербродів,5
МАРГАРИН,Рослинний замінник вершкового масла,8
МОРОЗИВО,Заморожений солодкий молочний десерт,8
ЯЛОВИЧИНА,М'ясо великої рогатої худоби,9
СВИНИНА,М'ясо свійської свині,7
КУРЯТИНА,М'ясо свійського птаха,8
БАРАНИНА,М'ясо, з якого готують шашлик на Кавказі,8
КОВБАСА,М'ясний виріб у кишковій оболонці,7
СОСИСКА,Тонка м'ясна ковбаска,7
ШИНКА,Солоне чи копчене м'ясо стегна,5
БЕКОН,Смажені скибки солоного сала,5
САЛО,Підшкірний жир свині,4
ПАШТЕТ,Перемелена маса з печінки чи м'яса,6
ЯЙЦЕ,Продукт курки для сніданку,4
ОМЛЕТ,Збиті яйця, засмажені на сковороді,5
БОРЩ,Червоний суп з буряком,4
ВАРЕНИКИ,Тісто з начинкою, зліплене півмісяцем,8
ГАЛУШКИ,Шматочки вареного тіста для супу,7
ДЕРУНИ,Смажені картопляні млинці,6
ГОЛУБЦІ,Фарш, загорнутий у капустяний листок,7
ХОЛОДЕЦЬ,Застигла м'ясна юшка з желатином,8
КУТЯ,Обрядова каша з пшениці, маку й меду,4
ПАСКА,Обрядовий здобний великодній хліб,5
НАЛИСНИКИ,Тонкі млинці із начинкою всередині,9
МЛИНЦІ,Тонкі коржики, смажені на сковороді,6
СИРНИКИ,Смажені виробі з сиру та борошна,7
ВЕРГУНИ,Смажене хрустке тісто у формі бантиків,7
УЗВАР,Напій із варених сушених фруктів,5
КАПУСНЯК,Кислуватий український суп зі шпондером,8
ЮШКА,Рідка перша страва з рибою чи м'ясом,4
ЗРАЗА,М'ясний рулет із начинкою всередині,5
ПІЦА,Коржик з начинкою, запечений у печі,4
ПАСТА,Виріб з тіста, зазвичай з соусом,5
СУШІ,Японська страва з рисом і рибою,4
РАМЕН,Японський суп з локшиною,5
КАРІ,Гостра приправа чи страва індійської кухні,4
КЕБАБ,Страва зі смаженого на рожні м'яса,5
ШАУРМА,Страва з м'ясом і овочами в лаваші,6
ФАЛАФЕЛЬ,Смажені кульки з нуту чи бобів,8
ХУМУС,Паста з нуту й кунжуту,5
ТАКО,Мексиканська страва в кукурудзяній коржі,4
БУРІТО,Мексиканська страва, загорнута в коржик,6
ЛАЗАНЬЯ,Італійська страва з шарів тіста й начинки,7
РІЗОТТО,Італійська страва з рису,7
ГУЛЯШ,Угорська густа м'ясна страва зі спеціями,5
ШНІЦЕЛЬ,Тонко відбита й обсмажена котлета,7
СТЕЙК,Товстий шматок смаженого м'яса,5
БУРГЕР,Булка з котлетою та овочами всередині,6
СЕНДВІЧ,Бутерброд із двох скибок хліба,7
КРУАСАН,Здобна випічка у формі півмісяця,7
ВОДА,Найпростіший і найважливіший напій,4
СІК,Напій, вичавлений із фруктів чи овочів,3
ЧАЙ,Гарячий напій із заварених листків,3
КАВА,Бадьорий напій із смажених зерен,4
КАКАО,Солодкий напій із насіння шоколадного дерева,5
ЛИМОНАД,Солодкий газований напій із цитрусів,7
КВАС,Кисло-солодкий напій із хліба,4
КОМПОТ,Солодкий напій із варених фруктів,6
ВИНО,Хмільний напій зі збродженого ягідного соку,4
ПИВО,Хмільний напій із хмелю та солоду,4
ШАМПАНСЬКЕ,Ігристе вино для урочистих тостів,10
КОНЬЯК,Міцний напій витриманий у дубових бочках,6
ВІСКІ,Міцний напій із витриманого зерна,5
РОМ,Міцний напій із цукрової тростини,3
ГОРІЛКА,Міцний прозорий напій без запаху,7
ТЕКІЛА,Міцний мексиканський напій з агави,6
ДЖИН,Міцний напій із ялівцем,4
ВЕРМУТ,Ароматизоване кріплене вино,6
КОКТЕЙЛЬ,Суміш кількох напоїв в одному келиху,8
СИДР,Напій із зброджених яблук,4
ГЛІНТВЕЙН,Гаряче вино зі спеціями,9
СІЛЬ,Мінеральна приправа для смаку,4
ЦУКОР,Солодка кристалічна приправа,5
КОРИЦЯ,Ароматна пряність із кори дерева,6
ВАНІЛЬ,Солодка пряність із стручків орхідеї,6
ІМБИР,Пекучий пряний корінь,5
ШАФРАН,Найдорожча пряність із квіткових приймочок,6
КУРКУМА,Жовта ароматна пряність,7
КМИН,Насіння з різким запахом для випічки,4
ГВОЗДИКА,Пряність у вигляді сухих бутонів,8
МУСКАТ,Пряний горіх для випічки й соусів,6
ЛАВР,Ароматний листок для супів,4
БАЗИЛІК,Запашна зелена приправа італійської кухні,7
ОРЕГАНО,Запашна трав'яниста приправа піци,7
РОЗМАРИН,Хвойна на вигляд запашна приправа,8
МАЙОРАН,Запашна трав'яниста приправа,7
ЧЕБРЕЦЬ,Ароматна лікарська трава-приправа,7
ГІРЧИЦЯ,Гостра жовта приправа з насіння,7
МАЙОНЕЗ,Густий соус із яєць та олії,7
КЕТЧУП,Томатний соус до страв,6
ОЦЕТ,Кисла рідина для заправки салатів,4
ОЛІЯ,Рослинний жир для смаження,4
ТОРТ,Багатошаровий святковий солодкий виріб,4
ТІСТЕЧКО,Невеликий солодкий кондитерський виріб,8
ПЕЧИВО,Хрустке дрібне борошняне виробі до чаю,6
ВАФЛЯ,Хрустке тонке листкове печиво,5
ХАЛВА,Східні ласощі з насіння й меду,5
ШОКОЛАД,Солодкий виріб із какао-бобів,7
ЦУКЕРКА,Дрібний солодкий виріб для десерту,7
МАРМЕЛАД,Желейні ласощі з фруктовим смаком,8
ЗЕФІР,Повітряні збиті ласощі на паличці,5
ЖЕЛЕ,Застигла солодка маса з фруктовим соком,4
ПУДИНГ,Ніжний запечений чи заварний десерт,6
КРЕМ,Солодка маса для прошарку торта,4
БЕЗЕ,Хрустке ласощі із збитих білків та цукру,4
МАКАРУН,Французьке мигдальне тістечко з начинкою,7
СКОВОРОДА,Плаский посуд для смаження,9
КАСТРУЛЯ,Посуд для варіння супів,8
ДУРШЛАГ,Посуд з дірочками для зливання води,7
ТЕРТКА,Кухонний прилад для подрібнення овочів,6
ВИДЕЛКА,Столовий прибор із зубцями,7
ЛОЖКА,Столовий прибор для рідкої їжі,5
ТАРІЛКА,Плаский посуд для подачі страв,7
МИСКА,Глибокий посуд для супу,5
ЧАШКА,Посуд з ручкою для гарячих напоїв,5
СКЛЯНКА,Прозорий посуд для напоїв,7
КУХОЛЬ,Великий посуд з ручкою для пива,6
ДУХОВКА,Кухонна шафа для запікання страв,7
ПЛИТА,Кухонний прилад для варіння й смаження,5
МУЛЬТИВАРКА,Електроприлад для готування різних страв,11
БЛЕНДЕР,Прилад для подрібнення й змішування продуктів,7
МІКСЕР,Прилад для збивання тіста чи вершків,6
ТОСТЕР,Прилад для підсмажування хліба,6
СМАЖЕННЯ,Приготування їжі на жирі й вогні,8
ВАРІННЯ,Приготування їжі у киплячій рідині,7
ТУШКУВАННЯ,Повільне приготування під кришкою,10
ЗАПІКАННЯ,Приготування страви в духовці,9
МАРИНУВАННЯ,Витримування продукту в приправленій рідині,11
