word,clue,length
ГОЛОВА,Верхня частина тіла з мозком і обличчям,6
ОБЛИЧЧЯ,Передня частина голови,7
ЧОЛО,Верхня частина обличчя над бровами,4
БРОВА,Дугоподібна смужка волосся над оком,5
ПОВІКА,Рухома шкірна складка над оком,6
ЗІНИЦЯ,Отвір ока, що змінює розмір від світла,6
НІС,Орган нюху й дихання на обличчі,3
ЩОКА,Бічна частина обличчя,4
ПІДБОРІДДЯ,Нижня частина обличчя під губами,10
ГУБА,М'яка частина рота навколо отвору,4
ЯЗИК,Рухомий орган смаку в роті,4
ЗУБ,Тверде утворення в роті для пережовування їжі,3
ЯСНА,Тканина, що охоплює основу зубів,4
ВУХО,Орган слуху збоку голови,4
ШИЯ,Частина тіла між головою і плечима,3
ПЛЕЧЕ,Верхня частина руки біля тулуба,5
ЛІКОТЬ,Суглоб посередині руки,6
РУКА,Кінцівка для хапання й роботи,4
ДОЛОНЯ,Внутрішня частина кисті,6
ПАЛЕЦЬ,Рухома кінцева частина кисті чи стопи,6
НІГОТЬ,Тверда пластинка на кінчику пальця,6
ТУЛУБ,Основна частина тіла без кінцівок і голови,5
ГРУДИ,Верхня передня частина тулуба,5
ЖИВІТ,Передня частина тулуба нижче грудей,5
СПИНА,Задня частина тулуба,5
ХРЕБЕТ,Стрижень із хребців уздовж спини,6
РЕБРО,Вигнута кістка грудної клітки,5
СТЕГНО,Частина ноги між тазом і коліном,6
КОЛІНО,Суглоб посередині ноги,6
ГОМІЛКА,Частина ноги між коліном і стопою,7
СТОПА,Нижня опорна частина ноги,5
СЕРЦЕ,Орган, що перекачує кров по тілу,5
ЛЕГЕНЯ,Орган дихання в грудній клітці,6
ПЕЧІНКА,Орган, що знешкоджує токсини в організмі,7
НИРКА,Орган, що фільтрує кров і виводить сечу,5
ШЛУНОК,Орган, де перетравлюється їжа,6
КИШЕЧНИК,Довгий орган травлення після шлунка,8
СЕЛЕЗІНКА,Орган, що фільтрує кров і бере участь в імунітеті,9
МОЗОК,Орган мислення й керування тілом,5
СУДИНА,Трубка, якою тече кров,6
АРТЕРІЯ,Судина, що несе кров від серця,7
ВЕНА,Судина, що несе кров до серця,4
КАПІЛЯР,Найтонша кровоносна судина,7
ЛІМФА,Прозора рідина імунної системи,5
КРОВ,Червона рідина, що циркулює тілом,4
КІСТКА,Тверда опорна частина скелета,6
СУГЛОБ,Рухоме з'єднання кісток,6
СУХОЖИЛЛЯ,Тканина, що з'єднує м'яз із кісткою,9
ХРЯЩ,Пружна тканина суглобів і вух,4
ЗІР,Здатність очей сприймати світло,3
СЛУХ,Здатність вух сприймати звук,4
НЮХ,Здатність носа сприймати запахи,3
ДОТИК,Здатність шкіри сприймати контакт,5
СМАК,Здатність язика розрізняти солодке й кисле,4
ЛІКАР,Фахівець, що лікує хворих,5
МЕДСЕСТРА,Фахівчиня, що асистує лікарю й доглядає хворих,9
ПАЦІЄНТ,Той, кого лікують,7
ДІАГНОЗ,Висновок про хворобу після обстеження,7
СИМПТОМ,Ознака, що вказує на хворобу,7
ТЕРАПІЯ,Лікування без хірургічного втручання,7
ОПЕРАЦІЯ,Хірургічне втручання в тіло,8
ХІРУРГ,Лікар, що оперує,6
ПЕДІАТР,Лікар, що лікує дітей,7
ТЕРАПЕВТ,Лікар загального профілю,8
КАРДІОЛОГ,Лікар, що лікує серце,9
СТОМАТОЛОГ,Лікар, що лікує зуби,10
НЕВРОЛОГ,Лікар, що лікує нервову систему,8
ПСИХІАТР,Лікар, що лікує психічні розлади,8
ПСИХОЛОГ,Фахівець, що працює з переживаннями й поведінкою,8
ДЕРМАТОЛОГ,Лікар, що лікує шкіру,10
ГІНЕКОЛОГ,Лікар, що лікує жіноче репродуктивне здоров'я,9
УРОЛОГ,Лікар, що лікує сечовидільну систему,6
ОНКОЛОГ,Лікар, що лікує пухлини,7
АЛЕРГОЛОГ,Лікар, що лікує підвищену чутливість організму,9
ІМУНОЛОГ,Лікар, що вивчає захисні сили організму,8
ЕНДОКРИНОЛОГ,Лікар, що лікує залози внутрішньої секреції,12
РЕНТГЕНОЛОГ,Лікар, що читає знімки внутрішньої будови тіла,11
ФАРМАЦЕВТ,Фахівець, що готує й видає ліки,9
ІНФЕКЦІЯ,Проникнення хвороботворних мікробів в організм,8
ВІРУС,Найдрібніший збудник хвороби поза клітиною,5
БАКТЕРІЯ,Одноклітинний мікроорганізм, іноді збудник хвороби,8
АЛЕРГІЯ,Підвищена чутливість організму до речовини,7
ЗАСТУДА,Легка хвороба від переохолодження,7
ГРИП,Гостра вірусна хвороба з високою температурою,4
КАШЕЛЬ,Різкий видих через подразнення дихальних шляхів,6
НЕЖИТЬ,Закладеність і виділення з носа,6
МІГРЕНЬ,Сильний пульсуючий біль в одній половині голови,7
ГАРЯЧКА,Підвищена температура тіла через хворобу,7
ТРАВМА,Пошкодження тіла від зовнішнього впливу,6
ПЕРЕЛОМ,Порушення цілісності кістки,7
ВИВИХ,Зміщення кісток у суглобі,5
РОЗТЯГНЕННЯ,Пошкодження зв'язок від надмірного напруження,11
СИНЯК,Темна пляма на шкірі від удару,5
РАНА,Пошкодження шкіри з порушенням цілісності,4
ОПІК,Пошкодження тканини від вогню чи гарячого,4
УКУС,Пошкодження від зубів чи жала,4
НАБРЯК,Скупчення рідини в тканинах,6
ЗАПАЛЕННЯ,Реакція тканини на пошкодження чи інфекцію,9
ІНФАРКТ,Гостре порушення кровопостачання серця,7
ІНСУЛЬТ,Гостре порушення кровопостачання мозку,7
АСТМА,Хронічна хвороба дихальних шляхів із задишкою,5
ДІАБЕТ,Хронічна хвороба обміну цукру в крові,6
ГІПЕРТОНІЯ,Хронічно підвищений артеріальний тиск,10
АНЕМІЯ,Нестача заліза чи гемоглобіну в крові,6
ДЕПРЕСІЯ,Тривалий пригнічений психічний стан,8
СТРЕС,Напружений стан організму від навантаження,5
БЕЗСОННЯ,Тривала нездатність заснути,8
АПЕТИТ,Бажання їсти,6
ДІЄТА,Особливий режим харчування,5
МАСАЖ,Розминання тіла для розслаблення чи лікування,5
ПРОФІЛАКТИКА,Запобіжні заходи проти хвороби,12
ГІГІЄНА,Дотримання чистоти для здоров'я,7
