word,clue,length
ВОДОХРЕЩЕ,Свято освячення води на початку січня,9
СПАС,Літнє свято освячення меду чи яблук,4
ПРОВОДИ,Весняний день поминання померлих,7
БЛАГОВІЩЕННЯ,Весняне свято звістки про майбутнє народження Христа,12
СПАСІВКА,Літній піст перед серпневим святом,8
ГУЛЯННЯ,Масове святкове дійство просто неба,7
ЯРМАРОК,Святковий торговий захід із розвагами,7
КАРНАВАЛ,Святкова хода в костюмах і масках,8
ФЕЄРВЕРК,Святковий вибух вогняних вогнів у небі,8
САЛЮТ,Урочистий залп на честь свята,5
ПАРАД,Урочиста хода на честь події,5
ХОДА,Урочистий організований рух колоною,4
ГОСТИНА,Візит із частуванням до когось на свято,7
ЗАСТІЛЛЯ,Спільна трапеза з родиною чи гостями,8
ТОСТ,Коротка промова перед випивкою за здоров'я,4
ПОДАРУНОК,Річ, яку дарують на свято,9
ЯЛИНКА,Хвойне дерево, прикрашене на Новий рік,6
ГІРЛЯНДА,Низка вогників чи прикрас для святкового оздоблення,8
