word,clue,length
ФУТБОЛ,"Гра, де м'яч заганяють у ворота ногами",6
ХОКЕЙ,Гра на льоду з ключкою і шайбою,5
ТЕНІС,Гра з ракеткою через сітку,5
БОКС,Двобій на рингу в рукавицях,4
ДЗЮДО,Японське бойове мистецтво на татамі,5
САМБО,Радянський вид боротьби без зброї,5
БІЛЬЯРД,Гра, де кулі заганяють у лузи,7
ГОЛЬФ,Гра, де м'яч заганяють ключкою в лунки,5
РЕГБІ,Гра з овальним м'ячем і захопленнями,5
БЕЙСБОЛ,Американська гра з битою і базами,7
ВОЛЕЙБОЛ,"Гра через сітку, торкатись м'яча двічі поспіль не можна",8
БАСКЕТБОЛ,"Гра, де м'яч закидають у кошик",9
ГАНДБОЛ,"Гра, де м'яч кидають руками у ворота",7
КРИКЕТ,Британська гра з битою і хвіртками,6
БОУЛІНГ,Збивання кеглів кулею по доріжці,7
ДАРТС,Метання дротиків у мішень,5
СКВОШ,Гра ракеткою об стіну в закритому корті,5
БАДМІНТОН,Гра з воланом через сітку,9
КАРАТЕ,Японське бойове мистецтво ударів,6
ТХЕКВОНДО,Корейське бойове мистецтво,9
АЙКІДО,Японське мистецтво самооборони без ударів,6
КІКБОКСИНГ,Бойове мистецтво з ударами руками й ногами,10
БОРОТЬБА,"Двобій без ударів, на килимі",8
ФЕХТУВАННЯ,Двобій на шпагах чи рапірах,10
ВЕСЛУВАННЯ,Рух човном за допомогою весел,10
ПЛАВАННЯ,Рух тіла у воді без опори,8
ПІРНАННЯ,Занурення під воду з головою,8
СЕРФІНГ,Катання на дошці по хвилях,7
ВАТЕРПОЛО,Командна гра м'ячем у басейні,9
РАФТИНГ,Сплав на надувному човні бурхливою рікою,7
КАЯК,Вузький легкий човен для одного веслувальника,4
БАЙДАРКА,Легкий човен, що рухають веслом з двома лопатями,8
ГІМНАСТИКА,"Вправи на кільцях, брусах і колоді",10
МАРАФОН,Забіг на 42 кілометри 195 метрів,7
СПРИНТ,Забіг на коротку дистанцію,6
ЕСТАФЕТА,"Забіг, де кожен пробігає свій етап",8
СКЕЛЕЛАЗІННЯ,Підйом на штучну чи природну стіну,12
ЛИЖІ,Дошки для ковзання по снігу,4
КОВЗАНИ,Взуття з лезом для катання по льоду,7
САНКИ,Дитячий засіб для катання з гірки,5
БОБСЛЕЙ,Швидкісний спуск у керованих санях,7
КЕРЛІНГ,"По льоду штовхають гранітну биту мітлами",7
БІАТЛОН,Лижна гонка зі стрільбою,7
СНОУБОРД,Дошка для катання по снігу,8
ФРІСТАЙЛ,Вільний стиль катання з трюками,8
ЙОГА,Індійська практика розтяжки й дихання,4
ПІЛАТЕС,Система вправ на зміцнення кора тіла,7
РОЗТЯЖКА,Вправи на гнучкість м'язів,8
ПРИСІД,Базова силова вправа для ніг,6
БІЦЕПС,М'яз, що згинає руку в лікті,6
ВИТРИВАЛІСТЬ,Здатність довго виконувати навантаження,12
ТРЕНАЖЕР,Пристрій для вправ у залі,8
ГАНТЕЛЬ,Невеликий снаряд для рук,7
СТАДІОН,Споруда для змагань і глядачів,7
АРЕНА,Майданчик для видовищних змагань,5
КОРТ,Майданчик для тенісу,4
РИНГ,Огороджений майданчик для боксу,4
ТАТАМІ,Мат для боротьби чи дзюдо,6
БАСЕЙН,Штучна водойма для плавання,6
ТРИБУНА,Місця для вболівальників на стадіоні,7
ВОРОТА,"Рамка, куди заганяють м'яч чи шайбу",6
СІТКА,Перепона між половинами корту,5
РАКЕТКА,Знаряддя для гри в теніс,7
КЛЮШКА,Знаряддя хокеїста,6
ШАЙБА,Гумовий диск у хокеї,5
ЩИТКИ,Захист гомілок футболіста,5
БУТСИ,Взуття футболіста з шипами,5
КРОСІВКИ,Спортивне взуття для бігу,8
ВЕЛОСИПЕД,Двоколісний транспорт для їзди й перегонів,9
ВЕЛОТРЕК,Трек для перегонів на двох колесах,8
РОЛИКИ,Взуття з колесами замість леза,6
СКЕЙТБОРД,Дошка на колесах для трюків,9
ЛУК,Зброя лучника,3
СТРІЛА,"Снаряд, що випускають з лука",6
МІШЕНЬ,Ціль для стрільби чи метання,6
СПИС,Снаряд, який метають на дальність,4
