word,clue,length
СВОБОДА,Можливість діяти на власний розсуд,7
МРІЯ,Заповітне бажання на майбутнє,4
НАДІЯ,Очікування хорошого,5
ЛЮБОВ,Найглибше тепле почуття до когось,5
ДРУЖБА,Тісний стосунок довіри й підтримки,6
РОДИНА,Найближчі люди, повязані кровю чи шлюбом,6
ДІМ,Місце, де живе людина й почувається затишно,3
МИР,Стан відсутності війни,3
ПРАВДА,Те, що відповідає дійсності,6
ДОБРО,Все, що приносить користь і радість,5
ЗЛО,Все, що завдає шкоди й страждання,3
ЩАСТЯ,Стан повного задоволення життям,5
ГІДНІСТЬ,Усвідомлення власної цінності,8
