word,clue,length
ЦІКАВІСТЬ,Бажання дізнатися більше,9
БАЙДУЖІСТЬ,Відсутність будь-якого інтересу,10
ОЧІКУВАННЯ,Стан чекання на подію,10
НЕТЕРПІННЯ,Бажання, щоб щось сталося швидше,10
ЗАДОВОЛЕННЯ,Приємне відчуття від здійсненого бажання,11
ПРИКРІСТЬ,Гірке відчуття від нездійсненого бажання,9
ПОЛЕГШЕННЯ,Зникнення напруги чи тривоги,10
НАПРУГА,Стан підвищеного емоційного тиску,7
ПОДРАЗНЕННЯ,Прикре відчуття від дрібної незручності,11
ЗМІШАНІ,Почуття ..., суперечливий стан водночас,7
СПОКУСЛИВИЙ,Той, що викликає бажання попри застереження,11
ЗАНЕПАД,Втрата бадьорості й енергії духу,7
ПІДНЕСЕНІСТЬ,Радісний натхненний стан,12
ЗАХОПЛЕНІСТЬ,Стан сильного позитивного інтересу,12
СПОКІЙНІСТЬ,Відсутність хвилювання,11
