word,clue,length
ТАБЛЕТКА,Пресована тверда форма ліків,8
МІКСТУРА,Рідкі ліки для внутрішнього вживання,8
МАЗЬ,Густий засіб для нанесення на шкіру,4
КРАПЛІ,Рідкі ліки, що дозуються по краплинах,6
СИРОП,Солодка рідка форма ліків,5
ІНЄКЦІЯ,Введення ліків голкою,7
ШПРИЦ,Інструмент для введення ліків голкою,5
БИНТ,Смуга тканини для перев'язки рани,4
ПЛАСТИР,Клейка стрічка для закриття рани,7
ТЕРМОМЕТР,Прилад для вимірювання температури тіла,9
АПТЕКАР,Той, хто відпускає ліки,7
РЕЦЕПТ,Дозвіл лікаря на придбання ліків,6
ДОЗУВАННЯ,Кількість ліків на прийом,9
АНТИБІОТИК,Ліки проти бактерій,10
ВІТАМІН,Речовина, потрібна організму в малих дозах,7
