word,clue,length
ВІЗОЧОК,Транспортний засіб для перевезення немовляти,7
ЛЮЛЬКА,Маленьке ліжечко для гойдання немовляти,6
СОСКА,Гумовий предмет для заспокоєння немовляти,5
ПОГРЕМУШКА,Дитяча іграшка, що торохтить,10
ПОВЗУНКИ,Дитячий одяг для тіла й ніг,8
СЛИНЯВЧИК,Тканина під підборіддям немовляти під час їжі,9
ПІДГУЗОК,Гігієнічний виріб для немовляти,8
МАНЕЖ,Огороджений майданчик для гри немовляти,5
ПЛЯШЕЧКА,Ємність з соскою для годування немовляти,8
БАВОВНА,Природний матеріал для дитячого одягу,7
НЯНЯ,Особа, що доглядає за дитиною,4
ПЕДІАТР,Лікар, що лікує дітей,7
ЩЕПЛЕННЯ,Введення вакцини для захисту від хвороби,8
ГОДУВАННЯ,Процес прийому їжі немовлям,9
КОЛИСКА,Підвісне чи гойдне ліжечко для немовляти,7
