word,clue,length
ПНЕВМОНІЯ,Запалення легень,9
БРОНХІТ,Запалення дихальних шляхів легень,7
ГАЙМОРИТ,Запалення пазух носа,8
АНГІНА,Запалення мигдаликів у горлі,6
ОТИТ,Запалення вуха,4
ГАСТРИТ,Запалення слизової оболонки шлунка,7
ВИРАЗКА,Глибоке пошкодження слизової оболонки,7
ЖОВТУХА,Пожовтіння шкіри через хворобу печінки,7
ЕКЗЕМА,Запальне ураження шкіри зі свербінням,6
ПСОРІАЗ,Хронічна хвороба шкіри з лущенням,7
ВІТРЯНКА,Дитяча вірусна хвороба з висипом на тілі,8
КІР,Дитяча вірусна хвороба з висипом і температурою,3
СВИНКА,Вірусна хвороба, що набрякає біля вух,6
НАСМОРК,Виділення рідини з носа при застуді,7
ЧХАННЯ,Різкий мимовільний видих через ніс,6
ГИКАВКА,Мимовільне ритмічне скорочення діафрагми,7
НУДОТА,Відчуття, що передує блюванню,6
БЛЮВОТА,Мимовільне виверження вмісту шлунка,7
ПРОНОС,Часте рідке випорожнення,6
ЗАПОР,Утруднене випорожнення кишечника,5
СУДОМА,Мимовільне різке скорочення м'яза,6
ОНІМІННЯ,Втрата чутливості частини тіла,8
СВЕРБІННЯ,Відчуття, що змушує чухатися,9
