word,clue,length
ШЕВЧЕНКО,Автор Кобзаря та Заповіту,8
ФРАНКО,Автор Зів'ялого листя й Мойсея,6
УКРАЇНКА,Авторка Лісової пісні,8
ВОВЧОК,Псевдонім авторки Народних оповідань,6
КОЦЮБИНСЬКИЙ,Автор новели Тіні забутих предків,12
СТЕФАНИК,Майстер короткої психологічної новели з Покуття,8
ТИЧИНА,Автор збірки Сонячні кларнети,6
РИЛЬСЬКИЙ,Поет-неокласик і перекладач,9
СОСЮРА,Автор вірша Любіть Україну,6
СИМОНЕНКО,Поет-шістдесятник, автор Лебедів материнства,9
СТУС,Поет-дисидент, що загинув у таборі,4
КОСТЕНКО,Авторка роману у віршах Маруся Чурай,8
ЗАГРЕБЕЛЬНИЙ,Автор історичного роману Диво,12
ГОНЧАР,Автор роману Собор,6
ЗАБУЖКО,Авторка роману Польові дослідження,7
ЖАДАН,Сучасний поет і прозаїк зі Слобожанщини,5
АНДРУХОВИЧ,Один із засновників Бу-Ба-Бу,10
ШЕВЧУК,Прозаїк і дослідник козацької доби,6
КОБЗАР,Збірка поезій Шевченка, що дала ім'я цілій епосі,6
ЗАПОВІТ,Прощальний вірш Кобзаря з проханням поховати на кургані,7
КОБЗАРСТВО,Традиція мандрівних сліпих співців з Кобзою,10
ЛІРНИК,Мандрівний співець із колісною лірою,6
БАНДУРИСТ,Виконавець на багатострунному щипковому інструменті,9
БАНДУРА,Багатострунний щипковий інструмент,7
КОБЗА,Давній щипковий інструмент, попередник бандури,5
СОПІЛКА,Народний дерев'яний духовий інструмент,7
ТРЕМБІТА,Довга гуцульська духова труба,8
ЦИМБАЛИ,Струнний ударний народний інструмент,7
ГОПАК,Запальний козацький танець з присядками,5
КОЛОМИЙКА,Швидка гуцульська пісня-танець,9
ВЕРТЕП,Різдвяна лялькова вистава,6
ГАЇВКИ,Весняні обрядові пісні й хороводи,6
ВЕСНЯНКИ,Обрядові пісні на честь приходу весни,8
ЩЕДРІВКА,Новорічна обрядова пісня,8
КОЛЯДКА,Різдвяна обрядова пісня,7
РІЗДВО,Свято народження Христа,6
ВЕЛИКДЕНЬ,Свято Христового воскресіння,9
МАСЛЯНА,Тиждень проводів зими млинцями,7
ВЕЧОРНИЦІ,Спільні вечірні зібрання молоді з рукоділлям,9
ШАРОВАРИ,Широкі козацькі штани,8
ОСЕЛЕДЕЦЬ,Довгий чуб на голеній голові козака,9
КОЗАК,Вільний воїн-запорожець,5
ГЕТЬМАН,Найвищий керівник козацького війська,7
КОШОВИЙ,Виборний ватажок Січі,7
КУРІНЬ,Житлово-військовий підрозділ січовиків,6
СІЧ,Укріплений табір запорізьких козаків,3
ШАБЛЯ,Вигнута ріжуча зброя вершника,5
БУЛАВА,Символ гетьманської влади,6
БУНЧУК,Древко з кінським хвостом як знак влади,6
ОБЕРІГ,Річ, що захищає від лиха,6
ВІНОЧОК,Квітковий убір на голову дівчини,7
СКРИНЯ,Розписана дерев'яна шафа для посагу,6
ГЛЕК,Череп'яна посудина для молока,4
МАКІТРА,Широка глиняна посудина для тертя маку,7
ГОНЧАРСТВО,Ремесло виготовлення череп'яного посуду,10
ТКАЦТВО,Ремесло виготовлення тканини на верстаті,7
ВИШИВКА,Орнамент, нанесений голкою на тканину,7
ВИТИНАНКА,Ажурний візерунок, вирізаний із паперу,9
МОТАНКА,Обрядова лялька без обличчя з тканини,7
БАРВІНОК,Вічнозелена квітка весільних вінків,8
КАЛИНА,Кущ із червоними ягодами - символ України,6
ВЕРБА,Дерево над водою - символ журби,5
ВИШИВАНКА,Сорочка з традиційним орнаментом,9
ПИСАНКА,Оздоблене візерунками великоднє яйце,7
РУШНИК,Вишите полотно для обрядів,6
ТРИЗУБ,Державний герб України,6
ПОБРАТИМ,Названий брат за звичаєм,8
СВАТАННЯ,Обряд прохання руки нареченої,8
ВЕСІЛЛЯ,Обряд одруження,7
ХРЕСТИНИ,Обряд надання імені немовляті,8
ОБЖИНКИ,Свято завершення жнив,7
КУПАЛА,Літнє свято з вогнищами й вінками на воді,6
МАЛАНКА,Новорічний обхід ряджених,7
ПЕРЕПЛУТ,Слов'янський дух рослинності на межі полів,8
ДОМОВИК,Дух-охоронець оселі за повір'ям,7
МАВКА,Лісова дівчина-дух за повір'ям,5
ЛІСОВИК,Дух-господар лісу за повір'ям,7
ВОДЯНИК,Дух-господар водойми за повір'ям,7
РУСАЛКА,Дівчина-дух, що живе у воді,7
ЗІЛЛЯ,Лікарська чи чарівна трава,5
ЗНАХАРКА,Жінка, що лікує травами й замовляннями,8
ВОРОЖІННЯ,Спроба дізнатись майбутнє на святки,9
СТЕЛЬМАХ,Автор роману Чотири броди,8
ТЮТЮННИК,Майстер новели про сільське дитинство Григір,8
МАЛИШКО,Автор Пісні про рушник,7
ПАВЛИЧКО,Поет-шістдесятник і перекладач Дмитро,8
ДРАЧ,Поет-шістдесятник, автор Балади про соняшник,4
ІЗДРИК,Станиславівський прозаїк-модерніст,6
ДЕРЕШ,Молодий автор роману Культ,5
КУРКОВ,Сучасний романіст, автор Пікніка на льоду,6
МАТІОС,Авторка роману Солодка Даруся,6
ДОВЖЕНКО,Режисер і письменник, автор кіноповісті Земля,8
ДІДУХ,Обрядовий сніп на покуті до Різдва,5
КРАШАНКА,Однотонно пофарбоване великоднє яйце,8
ГОЛОСІННЯ,Обрядовий похоронний плач-пісня,9
ЗАМОВЛЯННЯ,Магічна словесна формула проти хвороби чи лиха,10
СКОРОМОВКА,Фраза для тренування чіткої вимови,10
ЗАГАДКА,Питання-головоломка з прихованою відповіддю,7
ПРИКАЗКА,Стійкий образний вислів без повного повчання,8
СТРІТЕННЯ,Зимове свято зустрічі весни із зимою,9
ПОКРОВА,Осіннє свято під заступництвом Богородиці,7
ТРІЙЦЯ,Літнє свято, коли оселі прикрашають зіллям,6
ЗАПОРОЖЕЦЬ,Радянський малолітражний автомобіль,10
