word,clue,length
СЛОН,Найбільша сухопутна тварина з хоботом,4
НОСОРІГ,Товстошкіра тварина з рогом на морді,7
БЕГЕМОТ,Товста тварина, що живе у воді й на суші,7
ЗЕБРА,Смугастий родич коня,5
АНТИЛОПА,Швидконога рогата тварина саван,8
ГІЄНА,Хижа тварина з характерним сміхом,5
ГЕПАРД,Найшвидша сухопутна тварина,6
ЛЕОПАРД,Плямистий хижак, що чатує на деревах,7
ШИМПАНЗЕ,Розумна людиноподібна мавпа Африки,8
БАБУЇН,Велика наземна мавпа з видовженою мордою,6
СТРАУС,Найбільший птах, що не літає,6
МАРАБУ,Великий болотний птах-падальник,6
БУЙВІЛ,Могутня рогата тварина африканських саван,6
ФЕНЕК,Дрібна лисиця пустелі з величезними вухами,5
СУРИКАТ,Дрібний звір, що стоїть на задніх лапах вартовим,7
