word,clue,length
ЧЕДДЕР,Твердий англійський сир насиченого жовтого кольору,6
МОЦАРЕЛА,М'який італійський сир для піци,8
ПАРМЕЗАН,Твердий сир для тертя на пасту,8
ГАУДА,Голландський сир із восковою скоринкою,5
БРІ,Французький сир із білою цвілевою скоринкою,3
КАМАМБЕР,Французький сир із м'якою серединою й білою скоринкою,8
РОКФОР,Французький сир із синьою цвіллю,6
ФЕТА,Грецький розсільний сир із овечого молока,4
РІКОТА,Італійський сир із сироватки,6
БРИНЗА,Розсільний овечий сир Карпат,6
СУЛУГУНІ,Грузинський розсільний сир,8
ТОФУ,Сир із соєвого молока,4
БАГЕТ,Довгий французький хліб,5
ЧАБАТА,Італійський хліб з пористою м'якушкою,6
ПІТА,Плаский хліб-кишеня Близького Сходу,4
ЛАВАШ,Тонкий прісний хліб Кавказу,5
ФОКАЧЧА,Італійський хліб з олією та травами,7
БУБЛИК,Круглий хліб з дірочкою всередині,6
ПРЕТЦЕЛЬ,Хрусткий солоний хліб-вузол,8
ПЕНЕ,Коротка трубчаста паста з косими зрізами,4
ФУЗІЛІ,Спіральна паста,6
РАВІОЛІ,Італійські пельмені з начинкою,7
НЬОККІ,Італійські картопляні галушки,6
ТАЛЬЯТЕЛЛЕ,Довга пласка яєчна паста-стрічка,10
ФЕТУЧИНІ,Пласка стрічкова паста,8
