word,clue,length
ІНТЕРНЕТ,Всесвітня мережа для обміну інформацією,8
САЙТ,Сторінка чи набір сторінок в мережі,4
БРАУЗЕР,Програма для перегляду сторінок мережі,7
ПОСИЛАННЯ,Адреса, що веде на іншу сторінку,9
ДОМЕН,Унікальна адреса сайту в мережі,5
СЕРВЕР,Потужна машина, що зберігає й видає дані,6
ХОСТИНГ,Послуга розміщення сайту на сервері,7
ХМАРА,Віддалене онлайн-сховище для даних,5
ПАРОЛЬ,Секретне слово для доступу до акаунта,6
ЛОГІН,Ім'я користувача для входу в систему,5
АКАУНТ,Обліковий запис користувача в мережі,6
ПРОФІЛЬ,Особиста сторінка користувача,7
ПІДПИСНИК,Той, хто стежить за оновленнями сторінки,9
ЛАЙК,Позначка схвалення допису,4
КОМЕНТАР,Письмова реакція під дописом,8
РЕПОСТ,Поширення чужого допису на своїй сторінці,6
ХЕШТЕГ,Мітка з решіткою для пошуку тематичних дописів,6
СТРІМ,Пряма трансляція в мережі,5
СТРИМЕР,Той, хто веде пряму трансляцію в мережі,7
БЛОГ,Особистий онлайн-щоденник у мережі,4
БЛОГЕР,Той, хто веде особистий онлайн-щоденник,6
ПОДКАСТ,Аудіопередача для прослуховування в записі,7
МЕСЕНДЖЕР,Застосунок для обміну повідомленнями,9
ЧАТ,Обмін текстовими повідомленнями в реальному часі,3
ЕМОДЗІ,Маленька картинка для передачі емоцій у тексті,6
ВКЛАДЕННЯ,Файл, доданий до повідомлення,9
ФАЙЛ,Іменований набір даних на носії,4
АРХІВ,Стиснений набір файлів в одному пакунку,5
ФОРМАТ,Спосіб організації даних у файлі,6
РОЗШИРЕННЯ,Частина назви файлу після крапки,10
ЗАВАНТАЖЕННЯ,Копіювання даних із мережі на пристрій,12
ОНОВЛЕННЯ,Нова версія програми з виправленнями,9
ДОДАТОК,Невелика програма на пристрої,7
ЗАСТОСУНОК,Програма для виконання певних завдань на пристрої,10
ГАДЖЕТ,Компактний електронний пристрій,6
СМАРТФОН,Розумний телефон із виходом у мережу,8
ПЛАНШЕТ,Портативний пристрій із сенсорним екраном без клавіатури,7
НОУТБУК,Портативний персональний комп'ютер,7
МИШКА,Пристрій для керування курсором на екрані,5
ТАЧПАД,Сенсорна панель замість мишки в ноутбуці,6
ЗАРЯДКА,Пристрій для поповнення енергії акумулятора,7
МЕРЕЖА,Система з'єднаних між собою пристроїв,6
ХАКЕР,Той, хто зламує комп'ютерні системи,5
ШИФРУВАННЯ,Перетворення даних у нечитабельний вигляд,10
КРИПТОГРАФІЯ,Наука про захист інформації шифрами,12
БЛОКЧЕЙН,Розподілений незмінний ланцюжок записів,8
КРИПТОВАЛЮТА,Цифрові гроші поза контролем банків,12
БІТКОЇН,Найвідоміша цифрова валюта,7
АЛГОРИТМ,Чітка послідовність кроків для розв'язання задачі,8
КОД,Набір інструкцій для машини,3
ПРОГРАМА,Набір інструкцій, що виконує машина,8
ВКЛАДКА,Окреме вікно перегляду в межах однієї програми,7
КУРСОР,Рухомий покажчик позиції на екрані,6
ПІКСЕЛЬ,Найменша точка цифрового зображення,7
ЕКРАН,Поверхня, що показує зображення пристрою,5
ПОШУК,Знаходження потрібних даних у мережі,5
ІКОНКА,Маленьке зображення-символ програми,6
ПАПКА,Місце для впорядкованого зберігання файлів,5
СПАМ,Небажані масові повідомлення,4
ФІШИНГ,Обман для викрадення особистих даних,7
АНТИВІРУС,Програма для захисту від шкідливого коду,9
БРАНДМАУЕР,Захисний бар'єр між мережею і пристроєм,10
ІНТЕРФЕЙС,Спосіб взаємодії людини з програмою,9
ДОМОФОН,Пристрій зв'язку біля під'їзних дверей,7
РОУТЕР,Пристрій, що роздає інтернет по домівці,6
МОДЕМ,Пристрій для підключення до мережі через лінію,5
ПРОВАЙДЕР,Компанія, що надає доступ до мережі,9
ТРАФІК,Обсяг переданих мережею даних,6
ТАРИФ,Плата за послуги зв'язку чи мережі,5
ПОВІДОМЛЕННЯ,Короткий текст, надісланий іншій особі,12
ДЗВІНОК,Виклик через телефон чи месенджер,7
ЕКОСИСТЕМА,Узгоджений набір пристроїв і сервісів одного виробника,10
ВІДЕОКАРТА,Компонент, що обробляє й виводить зображення,10
БЕЗПІЛОТНИК,Літальний апарат без пілота на борту,11
