word,clue,length
СТІЛ,Меблі з ніжками й рівною поверхнею для їжі чи роботи,4
СТІЛЕЦЬ,Меблі для сидіння однієї людини зі спинкою,7
КРІСЛО,М'які меблі для сидіння з підлокітниками,6
ДИВАН,М'які меблі для сидіння кількох людей чи сну,5
ЛІЖКО,Меблі для сну,5
ШАФА,Меблі для зберігання одягу,4
КОМОД,Низькі меблі з висувними шухлядами,5
ПОЛИЦЯ,Горизонтальна дошка для речей на стіні,6
ТУМБОЧКА,Невеликі меблі біля ліжка,8
ТРЮМО,Меблі з дзеркалом для зачіски,5
ДЗЕРКАЛО,Поверхня, що відображає зображення,8
ВІШАЛКА,Пристрій для підвішування одягу,7
ГАРДЕРОБ,Місце чи шафа для зберігання одягу,8
СТЕЛАЖ,Багатоярусна конструкція для зберігання речей,6
ЛАВА,Довгі меблі для сидіння кількох осіб,4
ТАБУРЕТ,Сидіння без спинки на кількох ніжках,7
КОЛИСКА,Ліжечко, що гойдається, для немовляти,7
ВАННА,Місткість для миття всього тіла,5
ДУШ,Пристрій, що поливає тіло водою зверху,3
УМИВАЛЬНИК,Раковина для миття рук і обличчя,10
УНІТАЗ,Сантехнічний прилад туалету,6
МИЛО,Засіб для миття рук і тіла,4
ШАМПУНЬ,Засіб для миття волосся,7
ЩІТКА,Знаряддя з щетинками для чищення,5
ГРЕБІНЕЦЬ,Знаряддя із зубцями для укладання волосся,9
БРИТВА,Знаряддя для гоління,6
ФЕН,Пристрій, що сушить волосся теплим повітрям,3
ПРАСКА,Гарячий прилад для розгладжування одягу,6
НІЖ,Знаряддя з лезом для різання,3
ДОШКА,Плоский предмет для нарізання продуктів,5
СИТО,Приладдя з дрібними отворами для просіювання,4
ЛОПАТКА,Плаский предмет для перевертання їжі на сковороді,7
КАЧАЛКА,Циліндричний предмет для розкочування тіста,7
ВІДРО,Місткість з ручкою для перенесення рідини,5
ТАЗ,Широка неглибока місткість для прання чи миття,3
ШВАБРА,Знаряддя з держаком для миття підлоги,6
МІТЛА,Знаряддя з прутиків для підмітання,5
СОВОК,Плаский предмет для збирання сміття,5
ГАНЧІРКА,Клапоть тканини для витирання чи прибирання,8
ГУБКА,М'який предмет для миття посуду,5
ПЛЯШКА,Скляна чи пластикова тара з вузьким горлом,6
БАНКА,Скляна чи металева тара з широким отвором,5
КРИШКА,Предмет, що закриває отвір посудини,6
ШТОПОР,Знаряддя для витягання корка з пляшки,6
ВІДКРИВАЧКА,Кухонне знаряддя для зняття кришок і банок,11
ТЕРМОС,Посудина, що довго зберігає температуру напою,6
ЛАМПА,Джерело штучного світла,5
ЛЮСТРА,Світильник, підвішений до стелі,6
СВІЧКА,Стрижень із воску з ґнотом для освітлення,6
ЛІХТАРИК,Портативне джерело світла на батарейках,8
РОЗЕТКА,Гніздо в стіні для підключення приладів,7
ВИМИКАЧ,Пристрій для увімкнення й вимкнення світла,7
ДРІТ,Тонкий гнучкий металевий провідник,4
КАБЕЛЬ,Ізольований провідник для передачі струму чи сигналу,6
БАТАРЕЙКА,Невеликий портативний елемент живлення,9
ПУЛЬТ,Пристрій для дистанційного керування технікою,5
ОЛІВЕЦЬ,Дерев'яна паличка з грифелем для письма,7
РУЧКА,Приладдя з чорнилом для письма,5
ЛАСТИК,Гумка для стирання олівцевих написів,6
ЛІНІЙКА,Приладдя з поділками для вимірювання й креслення,7
ЗОШИТ,Зшиті аркуші паперу для записів,5
КНИГА,Друкований твір у вигляді зшитих аркушів,5
КОНВЕРТ,Паперова обгортка для листа,7
МАРКА,Наліпка, що підтверджує оплату пересилання листа,5
СКРІПКА,Дротяний затискач для аркушів,7
СТЕПЛЕР,Пристрій для зшивання аркушів металевими скобами,7
НОЖИЦІ,Знаряддя з двома лезами для різання паперу,6
КЛЕЙ,Речовина для з'єднання поверхонь,4
ПАПКА,Обкладинка для зберігання документів,5
КАЛЕНДАР,Таблиця днів, місяців і тижнів року,8
ГОДИННИК,Прилад, що показує поточний час,8
БУДИЛЬНИК,Годинник, що подає сигнал у заданий час,9
ПОДУШКА,М'який предмет під голову для сну,7
КОВДРА,Тканинний виріб, яким укриваються під час сну,6
ПРОСТИРАДЛО,Тканина, якою застеляють ліжко,11
МАТРАЦ,М'яка основа ліжка для лежання,6
НАВОЛОЧКА,Знімний чохол для подушки,9
ШТОРА,Тканина, що закриває вікно від світла,5
КИЛИМ,Тканий виріб для підлоги,5
КЛЮЧ,Металевий предмет для відмикання замка,4
ЗАМОК,Пристрій для замикання дверей,5
ДВЕРІ,Отвір у стіні для входу й виходу, що зачиняється,5
ВІКНО,Отвір у стіні для світла й повітря,5
ПІДВІКОННЯ,Горизонтальна поличка під вікном,10
ПОРІГ,Планка внизу дверного отвору,5
СХОДИ,Ряд східців для підйому між поверхами,5
ПЕРИЛА,Огорожа вздовж сходів чи балкона,6
ДАХ,Верхнє покриття будівлі,3
СТЕЛЯ,Верхня поверхня кімнати,5
ПІДЛОГА,Нижня поверхня кімнати, по якій ходять,7
СТІНА,Вертикальна конструкція, що обмежує приміщення,5
БАЛКОН,Виступ будівлі з огорожею на кілька поверхів вище землі,6
ТЕРАСА,Відкрита прибудова на рівні землі чи даху,6
ПАРКАН,Огорожа навколо двору,6
ХВІРТКА,Невеликі двері в паркані для проходу людини,7
