word,clue,length
РАДІСТЬ,Приємне почуття задоволення життям,7
ЩАСТЯ,Найвище відчуття благополуччя й задоволення,5
ЛЮБОВ,Глибоке тепле почуття прихильності,5
СУМ,Легке тривале пригнічення настрою,3
ТУГА,Гостре відчуття нестачі чогось дорогого,4
СМУТОК,Пригнічений стан через втрату чи невдачу,6
СТРАХ,Почуття перед реальною чи уявною небезпекою,5
ЖАХ,Найсильніше почуття перед загрозою,4
ТРИВОГА,Неспокійне очікування небезпеки,7
ЗЛІСТЬ,Роздратоване почуття проти когось,6
ГНІВ,Сильне обурення, що межує з люттю,4
НЕНАВИСТЬ,Стійка глибока ворожість до когось,9
ЗАЗДРІСТЬ,Прикре почуття через чужий успіх,9
РЕВНІСТЬ,Болісне почуття через страх втратити кохану особу,8
СОРОМ,Ніякове почуття через власний вчинок,5
ПРОВИНА,Усвідомлення власної помилки перед кимось,7
ГОРДІСТЬ,Задоволення власними досягненнями,8
НАДІЯ,Очікування хорошого в майбутньому,5
ВІРА,Внутрішня переконаність без доказів,4
ДОВІРА,Впевненість у чесності іншої особи,6
ЗНЕВІРА,Втрата надії на краще,7
РОЗПАЧ,Крайній ступінь безнадії,6
ВІДЧАЙ,Стан повної втрати надії й сил,6
ПОДИВ,Реакція на щось несподіване,5
ЦІКАВІСТЬ,Бажання дізнатися більше про щось,9
НУДЬГА,Стан, коли нема чим зайнятися,6
БАЙДУЖІСТЬ,Відсутність будь-якого інтересу чи почуттів,10
СПОКІЙ,Стан душевної рівноваги,6
ЗАДОВОЛЕННЯ,Приємне почуття від здійсненого бажання,11
РОЗЧАРУВАННЯ,Прикре почуття через нездійснені сподівання,12
ОБУРЕННЯ,Гостре незадоволення несправедливістю,8
ПРЕЗИРСТВО,Зневажливе ставлення до когось,10
ОГИДА,Сильна відраза до чогось неприємного,5
ПАНІКА,Раптовий неконтрольований страх,6
ЗБЕНТЕЖЕННЯ,Стан розгубленості й ніяковості,11
БОЯЗКІСТЬ,Схильність легко лякатися,9
ХОРОБРІСТЬ,Здатність діяти попри небезпеку,10
ВІДВАГА,Рішучість перед лицем небезпеки,7
МУЖНІСТЬ,Стійкість духу перед труднощами,8
БОЯГУЗТВО,Брак рішучості перед небезпекою,9
ВПЕВНЕНІСТЬ,Тверда віра у власні сили,11
РІШУЧІСТЬ,Готовність діяти без вагань,9
ВАГАННЯ,Нерішучість перед вибором,7
ТЕРПІННЯ,Здатність довго стримано чекати,8
НЕТЕРПЛЯЧКА,Бажання, щоб усе сталося негайно,11
СПІВЧУТТЯ,Розділення чужого горя як власного,9
МИЛОСЕРДЯ,Готовність допомогти стражденному,9
ЖАЛІСТЬ,Співчуття до чужого страждання,7
ВДЯЧНІСТЬ,Тепле почуття у відповідь на добро,9
ВВІЧЛИВІСТЬ,Шаноблива й тактовна поведінка,11
ГРУБІСТЬ,Різка неввічлива поведінка,8
ЧЕСНІСТЬ,Прямота й правдивість у словах і вчинках,8
БРЕХНЯ,Свідомо неправдиве твердження,6
ПРАВДА,Те, що відповідає дійсності,6
СВОБОДА,Можливість діяти на власний розсуд,7
ВЛАДА,Можливість керувати іншими,5
ЗАЛЕЖНІСТЬ,Стан підпорядкованості чомусь,10
САМОТНІСТЬ,Стан відсутності поруч інших людей,10
ДРУЖБА,Близькі теплі стосунки без родинних зв'язків,6
ВОРОЖНЕЧА,Стійка неприязнь між сторонами,9
ПОВАГА,Шанобливе ставлення до чиїхось якостей,6
ЗНЕВАГА,Демонстративна неповага,7
ГІДНІСТЬ,Усвідомлення власної цінності,8
ЧЕСТЬ,Моральна репутація особи,5
ДОБРОТА,Схильність до безкорисливих гарних вчинків,7
ЖОРСТОКІСТЬ,Байдужість до чужого страждання,11
ТУРБОТА,Уважне ставлення до чиїхось потреб,7
ЕНТУЗІАЗМ,Пристрасне захоплення справою,9
НАТХНЕННЯ,Приплив творчих сил і бажання діяти,9
АПАТІЯ,Повна байдужість і брак енергії,6
МЕЛАНХОЛІЯ,Легкий тривалий сум без явної причини,10
ЕЙФОРІЯ,Стан надмірного піднесеного щастя,7
ЕКСТАЗ,Найвищий ступінь захопленого пориву,6
ЗАХОПЛЕННЯ,Сильний інтерес і замилування чимось,10
НОСТАЛЬГІЯ,Тепла туга за минулим,10
ПОЛЕГШЕННЯ,Зникнення напруги після тривоги,10
ВТОМА,Занепад сил після напруження,5
ЩЕДРІСТЬ,Готовність ділитися без жалю,8
ЖАДІБНІСТЬ,Небажання ділитися своїм,10
СКУПІСТЬ,Надмірна економність до дріб'язковості,8
ЛІНЬ,Небажання щось робити,4
МРІЯ,Образ бажаного майбутнього,4
ІЛЮЗІЯ,Хибне сприйняття дійсності,6
РЕАЛЬНІСТЬ,Те, що існує насправді,10
ІСТИНА,Об'єктивна відповідність дійсності,6
СУМНІВ,Невпевненість у правильності чогось,6
ПЕРЕКОНАННЯ,Тверда особиста думка,11
ПРИНЦИП,Основне правило поведінки особи,7
МОРАЛЬ,Уявлення про добро і зло в суспільстві,6
ЕТИКА,Наука про моральні норми поведінки,5
СОВІСТЬ,Внутрішній суддя власних вчинків,7
РОЗУМ,Здатність мислити й пізнавати світ,5
ПОЧУТТЯ,Внутрішнє переживання щодо чогось,7
ЕМОЦІЯ,Короткочасна реакція переживання,6
НАСТРІЙ,Загальний емоційний стан у певний момент,7
ХАРАКТЕР,Стійкий набір рис особистості,8
ТЕМПЕРАМЕНТ,Природжена динаміка нервових реакцій особи,11
