word,clue,length
ПЛАВАННЯ,Рух тіла у воді без опори,8
ПІРНАННЯ,Занурення під воду з головою,8
ВЕСЛУВАННЯ,Рух човном за допомогою весел,10
ВІТРИЛЬНИЙ,Спорт руху по воді за допомогою вітру,10
СЕРФІНГ,Катання на дошці по хвилях,7
ВОДЕРПОЛО,Командна гра м'ячем у басейні,9
СИНХРОННЕ,Плавання ... з фігурами під музику,9
ГРЕБЕЦЬ,Спортсмен, що керує веслом,7
БАЙДАРКА,Легкий вузький човен для веслування,8
КАНОЕ,Легкий човен без керма з одним веслом,5
РЯТУВАЛЬНИК,Той, хто рятує потопаючих,11
ХВИЛЯ,Коливання водної поверхні,5
ЛАСТИ,Плоске взуття для швидкого плавання,5
МАСКА,Пристрій для огляду під водою,5
АКВАЛАНГ,Апарат для дихання під водою,8
