word,clue,length
ДЖУНГЛІ,Густий тропічний ліс,7
ЛІАНА,В'юнка рослина тропічного лісу,5
ПАПУГА,Яскраво забарвлений птах з міцним дзьобом,6
ТУКАН,Птах з величезним різнобарвним дзьобом,5
ЯГУАР,Плямистий хижак Південної Америки,5
ПІТОН,Задушливий гігантський плазун тропіків,5
ГОРИЛА,Найбільша людиноподібна мавпа,6
ШИМПАНЗЕ,Розумна людиноподібна мавпа,8
ОРАНГУТАН,Руда людиноподібна мавпа Азії,9
КОЛІБРІ,Найменший у світі птах,7
ЛІНИВЕЦЬ,Дуже повільна деревна тварина,8
ПІРАНЬЯ,Хижа річкова риба з гострими зубами,7
ТАРАНТУЛ,Великий отруйний павук,8
БАОБАБ,Дерево з надзвичайно товстим стовбуром,6
ВОЛОГІСТЬ,Насиченість повітря парами води,9
