word,clue,length
ШАПКА,Головний убір для тепла взимку,5
РУКАВИЦІ,Тепле вбрання для рук з окремим місцем для великого пальця,8
ШАРФ,Довга смуга тканини навколо шиї,4
ПАЛЬТО,Довгий верхній теплий одяг,6
КУРТКА,Короткий верхній теплий одяг,6
ПУХОВИК,Куртка з утепленням із пуху,7
ВАЛЯНКИ,Тепле взуття з повсті,7
ЧОБОТИ,Взуття, що закриває ногу до литки,6
ТЕРМОБІЛИЗНА,Утеплена спідня білизна для холодної погоди,12
ШКАРПЕТКИ,Теплий трикотажний виріб для ніг,9
СВЕТР,В'язаний верхній одяг з довгими рукавами,5
ПОНЧО,Накидка з отвором для голови,5
КАПЮШОН,Знімна частина одягу для покриття голови,7
ШИПИ,Металеві вістря на взутті проти ковзання,4
ГРІЛКА,Пристрій чи предмет для зігрівання,6
