word,clue,length
ВЕСЕЛКА,Різнобарвна дуга на небі після дощу,7
МІРАЖ,Оманливе видіння в пустелі,5
ВІДБИТТЯ,Дзеркальне зображення предмета,8
ЗАЛОМЛЕННЯ,Зміна напрямку променя на межі середовищ,10
ПРИЗМА,Прозоре тіло, що розкладає світло на спектр,6
ЛІНЗА,Прозоре тіло для збирання чи розсіювання світла,5
СПЕКТР,Розклад світла на кольори,6
ТІНЬ,Темна ділянка, куди не потрапляє світло,4
ВІДБЛИСК,Короткий проблиск світла на поверхні,8
ЗОРЯНЕ,"... небо, всипане зірками",6
КОНТРАСТ,Гра яскравого й темного на зображенні,8
ГАЛО,Світляне кільце навколо сонця чи місяця,4
СЯЙВО,Рівне яскраве світіння,5
ПОЛЯРНЕ,"Сяйво, кольорові спалахи в небі біля полюсів",7
ФОКУС,Точка збору променів після лінзи,5
