word,clue,length
БДЖОЛА,Комаха, що виробляє мед,6
ВУЛИК,Житло для рою комах-медоносів,5
БДЖОЛЯР,Той, хто розводить медоносних комах,7
МЕД,Солодкий продукт бджільництва,3
ВІСК,Речовина, з якої бджоли будують соти,4
СОТИ,Шестигранні комірки для меду,4
МАТКА,Головна плодюча самка вулика,5
ТРУТЕНЬ,Самець бджолиної родини без жала,7
РІЙ,Група бджіл, що покидає вулик з новою маткою,3
ЖАЛО,Гострий орган для захисту в бджоли,4
НЕКТАР,Солодкий сік квітки, з якого роблять мед,6
ПИЛОК,Дрібні зернята, що переносять бджоли,5
ПРОПОЛІС,Смолиста речовина-антисептик з вулика,8
ДИМАР,Пристрій для заспокоєння бджіл димом,5
ПАСІКА,Місце розташування вуликів,6
