word,clue,length
СТАЛАКТИТ,Крижаний на вигляд відросток, що росте зі стелі печери,9
СТАЛАГМІТ,Відросток, що росте з підлоги печери вгору,9
ГРОТ,Невелика мальовнича печера,4
ПРІРВА,Глибокий провал у землі,6
ЛАБІРИНТ,Заплутана мережа ходів,8
СПЕЛЕОЛОГ,Той, хто досліджує печери,9
КАРСТ,Рельєф, утворений розчиненням гірських порід водою,5
ГРАВІЙ,Дрібні уламки каменю,6
ВАПНЯК,Осадова порода, з якої часто утворюються печери,6
ЛУЖА,Невелике скупчення води на поверхні,4
ПІДЗЕМЕЛЛЯ,Прихований простір під землею,10
ХІД,Вузький тунель усередині печери,3
ЕХО,Повторення звуку від стін,3
ФАКЕЛ,Джерело світла для дослідників темних місць,5
ШОЛОМ,Захисне спорядження спелеолога,5
