word,clue,length
ДРЕСУРА,Навчання тварин виконувати команди,7
АРЕНА,Круглий майданчик для виступів,5
ЕКВІЛІБРИСТ,Артист, що балансує на висоті,11
ФОКУСНИК,Артист, що показує неймовірні трюки,8
АКРОБАТ,Артист, що виконує гімнастичні трюки,7
КАНАТОХОДЕЦЬ,Артист, що ходить по натягнутому тросу,12
ДРЕСИРУВАТИ,Навчати тварину виконувати трюки,11
ШПАГАТ,Розтяжка ніг у протилежні боки,7
САЛЬТО,Перекид тіла в повітрі через голову,6
ТРАПЕЦІЯ,Гімнастичний снаряд-перекладина на висоті,8
УНІЦИКЛ,Одноколісний велосипед циркача,7
БАЛАНСУВАННЯ,Утримання рівноваги на нестійкій опорі,12
ДРІТОХОДЕЦЬ,Артист, що ходить по тонкому тросу,11
ХОДУЛІ,Довгі жердини для ходьби на висоті,6
ГРИМЕРНА,Кімната для підготовки артистів,8
