word,clue,length
ЗДОРОВИЙ,Протилежне до хворого,8
ХВОРИЙ,Протилежне до здорового,6
ГОЛОДНИЙ,Протилежне до ситого,8
СИТИЙ,Протилежне до голодного,5
ВТОМЛЕНИЙ,Той, хто втратив сили,9
БАДЬОРИЙ,Той, хто повний сил і енергії,8
СОННИЙ,Той, кому хочеться спати,6
ТРЕЗВИЙ,Протилежне до п'яного,7
ПЯНИЙ,Той, хто випив забагато алкоголю,5
ЗАЙНЯТИЙ,Протилежне до вільного,8
ВІЛЬНИЙ,Протилежне до зайнятого,7
ГОТОВИЙ,Той, хто закінчив підготовку,7
ЗАКОХАНИЙ,Той, хто відчуває сильне почуття до когось,9
САМОТНІЙ,Той, хто без пари чи товариства,8
ОДРУЖЕНИЙ,Той, хто перебуває в шлюбі,9
РОЗЛУЧЕНИЙ,Той, чий шлюб офіційно припинено,10
ВАГІТНА,Та, що чекає на народження дитини,7
НАРОДЖЕНИЙ,Той, хто з'явився на світ,10
ГОЛИЙ,Той, хто без одягу,5
ОДЯГНЕНИЙ,Той, хто в одязі,9
ЗАМЕРЗЛИЙ,Той, хто дуже змерз,9
ЗІГРІТИЙ,Той, кого зробили теплим,8
ПОРАНЕНИЙ,Той, хто дістав тілесне ушкодження,9
ХВОРОБЛИВИЙ,Той, хто часто хворіє,11
