word,clue,length
ШАУРМА,Загорнута в лаваш страва з мясом і овочами,6
ФАЛАФЕЛЬ,Смажені кульки з нуту чи бобів,8
БУРІТО,Загорнута в тортилью мексиканська страва,6
ТАКО,Хрустка мексиканська лепешка з начинкою,4
ПІЦА,Коржик з начинкою, запечений у печі,4
СЕНДВІЧ,Два шматки хліба з начинкою між ними,7
БУБЛИК,Круглий хлібний виріб з дірочкою в середині,6
ПРАЗЬКИЙ,Хот-дог ..., смажена сосиска на паличці в тісті,8
БЛІНЧИК,Тонко засмажений виріб з рідкого тіста,7
СИРНИК,Смажений виріб із сиру з борошном і яйцем,6
ПИРІЖОК,Невеликий випечений чи смажений виріб з начинкою,7
ХОТДОГ,Булочка з сосискою й соусом,6
КЕБАБ,Страва зі шматочків смаженого мяса на вертелі,5
САМСА,Випічка з мясною начинкою трикутної форми,5
ЧЕБУРЕК,Смажений пиріжок з мясною начинкою,7
