word,clue,length
ЖИЛЕТ,Одяг без рукавів поверх сорочки,5
ПОНЧО,Накидка з отвором для голови,5
КОМБІНЕЗОН,Суцільний одяг для верху й низу разом,10
ЛЕГІНСИ,Обтислі трикотажні штани,7
БРИДЖІ,Штани нижче колін,6
ГОЛЬФИ,Високі шкарпетки до коліна,6
ЖАКЕТ,Короткий жіночий піджак,5
СМОКІНГ,Урочистий чоловічий костюм з атласними лацканами,7
ФРАК,Урочистий костюм з довгими фалдами ззаду,4
МУНДИР,Формений одяг військового,6
ХАЛАТ,Домашній одяг поверх білизни,5
ПІЖАМА,Одяг для сну,6
КУПАЛЬНИК,Одяг для плавання,9
ПЛАВКИ,Чоловічий одяг для купання,6
ХУСТКА,Тканина на голову чи шию,6
КЕПКА,Головний убір із коротким козирком,5
ФАТА,Прозоре весільне покривало нареченої,4
КОРСЕТ,Тугий стягуючий одяг для талії,6
БЮСТГАЛЬТЕР,Спідня жіноча білизна для грудей,11
ПОЯС,Смуга тканини чи шкіри навколо талії,4
ПІДТЯЖКИ,Стрічки через плечі для утримання штанів,8
