word,clue,length
ХОДИТИ,Пересуватися ногами кроком,6
БІГАТИ,Пересуватися ногами швидше, ніж кроком,6
СТРИБАТИ,Відриватися від землі обома ногами,8
ПЛАВАТИ,Рухатися по воді без опори,7
ЛІТАТИ,Рухатися в повітрі,6
ЇСТИ,Приймати їжу,4
ПИТИ,Приймати рідину,4
СПАТИ,Перебувати уві сні,5
ЧИТАТИ,Сприймати текст очима,6
ПИСАТИ,Наносити текст на папір,6
МАЛЮВАТИ,Створювати зображення фарбами чи олівцем,8
СПІВАТИ,Видавати мелодію голосом,7
ТАНЦЮВАТИ,Рухатися в такт музиці,9
ГРАТИ,Розважатися грою чи виконувати музику,5
ПРАЦЮВАТИ,Виконувати роботу,9
ДУМАТИ,Обмірковувати щось подумки,6
ГОВОРИТИ,Виражати думки словами вголос,8
СЛУХАТИ,Сприймати звуки вухами,7
ДИВИТИСЯ,Спрямовувати погляд на щось,8
БАЧИТИ,Сприймати очима,6
ЧУТИ,Сприймати вухами,4
ЛЮБИТИ,Відчувати сильну прихильність,6
БОЯТИСЯ,Відчувати страх,7
СМІЯТИСЯ,Виражати радість звуком і мімікою,8
ПЛАКАТИ,Проливати сльози від горя чи болю,7
КРИЧАТИ,Видавати гучний звук голосом,7
МОВЧАТИ,Не видавати жодного звуку голосом,7
ЧЕКАТИ,Перебувати в стані очікування,6
ШУКАТИ,Намагатися знайти щось,6
КУПУВАТИ,Віддавати гроші за товар,8
ПРОДАВАТИ,Віддавати товар за гроші,9
БРАТИ,Забирати щось у свої руки,5
ДАВАТИ,Вручати щось іншій особі,6
НЕСТИ,Переміщувати вантаж у руках,5
ВЕЗТИ,Переміщувати вантаж транспортом,5
БУДУВАТИ,Зводити споруду,8
СТВОРЮВАТИ,Робити щось нове,10
ВИРІШУВАТИ,Приймати рішення,10
ВИБИРАТИ,Віддавати перевагу одному з варіантів,8
ПОЧИНАТИ,Робити перший крок у справі,8
ЗАКІНЧУВАТИ,Робити останній крок у справі,11
ВІДКРИВАТИ,Робити доступним те, що було закрите,10
ЗАКРИВАТИ,Робити недоступним те, що було відкрите,9
ВСТАВАТИ,Підійматися з лежачого чи сидячого положення,8
МИТИСЯ,Очищати своє тіло водою,6
ГОТУВАТИ,Робити страву з продуктів,8
ПРИБИРАТИ,Наводити лад у приміщенні,9
МИТИ,Очищати водою,4
ВЧИТИ,Здобувати чи передавати знання,5
РОЗУМІТИ,Усвідомлювати сенс чогось,8
ПОЯСНЮВАТИ,Робити зрозумілим для іншого,10
ЗАПИТУВАТИ,Звертатися за відповіддю,10
ВІДПОВІДАТИ,Реагувати словами на запитання,11
ОБІЦЯТИ,Давати слово щось зробити,7
ДОПОМАГАТИ,Робити щось на користь іншому,10
ЗАБУВАТИ,Втрачати щось із пам'яті,8
ЗНАХОДИТИ,Виявляти щось після пошуку,9
