word,clue,length
КІЛОМЕТР,Тисяча метрів,8
МИЛЯ,Британо-американська одиниця відстані,4
ДЮЙМ,Одиниця довжини, приблизно 2,5 сантиметра,4
ФУТ,Одиниця довжини, приблизно 30 сантиметрів,3
ЯРД,Одиниця довжини, трохи менша за метр,3
АКР,Одиниця площі землі,3
ГЕКТАР,Сто соток землі,6
ЛІТР,Одиниця об'єму рідини,4
МІЛІЛІТР,Тисячна частка літра,8
ГАЛОН,Британо-американська одиниця об'єму рідини,5
УНЦІЯ,Невелика одиниця маси чи об'єму,5
ТОННА,Тисяча кілограмів,5
ЦЕНТНЕР,Сто кілограмів,7
ВУЗОЛ,Одиниця швидкості на морі,5
РАДІАН,Одиниця виміру кута через довжину дуги,6
БАЙТ,Найменша адресована одиниця пам'яті,4
КІЛОБАЙТ,Тисяча байтів,8
МЕГАБАЙТ,Мільйон байтів,8
ГІГАБАЙТ,Мільярд байтів,8
ТЕРАБАЙТ,Трильйон байтів,8
ФРАНК,Колишня валюта Франції та нинішня Швейцарії,5
ПЕСО,Валюта більшості країн Латинської Америки,4
РЕАЛ,Валюта Бразилії,4
РУПІЯ,Валюта Індії,5
ДИНАР,Валюта кількох арабських країн,5
ДИРХАМ,Валюта Марокко чи ОАЕ,6
ЗЛОТИЙ,Валюта Польщі,6
КРОНА,Валюта Чехії, Швеції чи Норвегії,5
ФОРИНТ,Валюта Угорщини,6
ЛЕЙ,Валюта Румунії,3
ЛЕВА,Валюта Болгарії,4
