word,clue,length
ЩИТОПОДІБНА,Залоза ..., що регулює обмін речовин у шиї,11
НАДНИРКОВІ,Залози ..., що виробляють адреналін,10
ГІПОФІЗ,Головна залоза мозку, що керує іншими,7
ЕПІФІЗ,Залоза мозку, що регулює сон,6
ПІДШЛУНКОВА,Залоза ..., що виробляє інсулін,11
ЖОВЧНИЙ,Міхур ..., що зберігає жовч,7
СЕЛЕЗІНКА,Орган, що фільтрує кров,9
СТРАВОХІД,Трубка від горла до шлунка,9
ГОРТАНЬ,Орган, що містить голосові зв'язки,7
ТРАХЕЯ,Трубка, що з'єднує гортань з бронхами,6
БРОНХИ,Розгалуження трахеї в легенях,6
АЛЬВЕОЛИ,Крихітні бульбашки в легенях для обміну газів,8
ДІАФРАГМА,М'яз, що відділяє грудну клітку від живота,9
СУХОЖИЛЛЯ,Тканина, що з'єднує м'яз з кісткою,9
ХРЯЩ,Пружна тканина між кістками,4
