word,clue,length
СМАЖИТИ,Готувати на олії з високою температурою,7
ВАРИТИ,Готувати у киплячій воді,6
ПЕКТИ,Готувати сухим жаром у духовці,5
ТУШКУВАТИ,Готувати повільно в невеликій кількості рідини,9
ПАРИТИ,Готувати за допомогою пари,6
МАРИНУВАТИ,Витримувати продукт у кислому розчині перед готуванням,10
СОЛИТИ,Додавати сіль для смаку чи консервації,6
КВАСИТИ,Заготовляти овочі методом бродіння,7
СУШИТИ,Видаляти вологу для тривалого зберігання,6
КОПТИТИ,Обробляти димом для смаку й консервації,7
НАРІЗАТИ,Ділити продукт на шматки ножем,8
ШАТКУВАТИ,Дрібно нарізати овочі соломкою,9
ОЧИЩАТИ,Знімати шкірку чи лушпиння,7
ПРОЦІДЖУВАТИ,Відділяти рідину від твердих частинок,12
ЗАПРАВЛЯТИ,Додавати олію, сметану чи спеції до страви,10
