word,clue,length
НЕЙРОН,Клітина нервової системи,6
СИНАПС,Місце передачі сигналу між нейронами,6
РЕФЛЕКС,Мимовільна реакція організму на подразник,7
НЕРВ,Волокно, що передає сигнали до мозку й назад,4
ШЛУНОЧОК,Порожнина серця чи мозку,8
ПЕРЕДСЕРДЯ,Верхня камера серця,10
АОРТА,Найбільша артерія тіла,5
ГЕМОГЛОБІН,Білок крові, що переносить кисень,10
ЛЕЙКОЦИТ,Білі кров'яні тільця, що борються з інфекцією,8
ЕРИТРОЦИТ,Червоні кров'яні тільця, що переносять кисень,9
ТРОМБОЦИТ,Кров'яна клітина, що зупиняє кровотечу,9
ГІПОТАЛАМУС,Ділянка мозку, що регулює температуру й голод,11
МОЗОЧОК,Частина мозку, що відповідає за координацію рухів,7
