word,clue,length
УСПІХ,Досягнення бажаного результату,5
НЕВДАЧА,Протилежність успіху,7
ДОСВІД,Знання, здобуті практикою,6
НАВИЧКА,Уміння, доведене до автоматизму,7
ТАЛАНТ,Природний хист до чогось,6
ЗДІБНІСТЬ,Природна схильність до певної справи,9
ЗВИЧКА,Дія, яку повторюють майже несвідомо,6
ТРАДИЦІЯ,Звичай, що передається з покоління в покоління,8
КУЛЬТУРА,Сукупність духовних і матеріальних здобутків народу,8
ЦИВІЛІЗАЦІЯ,Високорозвинене суспільство певної епохи,11
СУСПІЛЬСТВО,Люди, об'єднані спільним життям,11
ДЕРЖАВА,Політично організована спільнота на певній території,7
НАЦІЯ,Спільнота людей однієї культури й історії,5
ІДЕНТИЧНІСТЬ,Усвідомлення належності до певної групи,12
ОСОБИСТІСТЬ,Людина з власним неповторним внутрішнім світом,11
РЕПУТАЦІЯ,Загальна думка про когось,9
АВТОРИТЕТ,Загальна повага й вплив,9
ВПЛИВ,Здатність діяти на щось чи когось,5
КОНТРОЛЬ,Нагляд і керування процесом,8
ДИСЦИПЛІНА,Свідоме дотримання встановлених правил,10
ПОРЯДОК,Стан, коли все на своєму місці,7
СТРУКТУРА,Внутрішня будова цілого,9
ІЄРАРХІЯ,Порядок підпорядкування від нижчого до вищого,8
РІВНОВАГА,Стан стійкості без перекосу в жоден бік,9
КОНФЛІКТ,Зіткнення протилежних інтересів,8
КОМПРОМІС,Взаємна поступка заради згоди,9
ЗГОДА,Спільна думка сторін,5
МИР,Стан без війни,3
ВІЙНА,Збройне протистояння держав,5
ПЕРЕМИРЯ,Тимчасове припинення бойових дій,8
