word,clue,length
СВІТЛОРІК,Відстань, яку світло долає за рік,9
ПАРАЛАКС,Видима зміна положення об'єкта при зміні точки спостереження,8
ЗОРЕПАД,Явище, коли безліч метеорів падає одночасно,7
КОСМОНАВТИКА,Наука й практика польотів за межі Землі,12
ПЛАНЕТАРІЙ,Заклад із проєкцією зоряного неба на купол,10
НЕБОСХИЛ,Видима межа неба й землі на горизонті,8
АСТРОФІЗИКА,Наука про фізичні процеси в зорях і галактиках,11
КОСМОЛОГІЯ,Наука про будову й розвиток Всесвіту,10
МОДУЛЬ,Окрема частина космічного апарата чи станції,6
СТИКОВКА,З'єднання двох апаратів у космосі,8
