word,clue,length
МЕРКУРІЙ,Найближча до Сонця планета,8
ЗЕМЛЯ,Планета, на якій ми живемо,5
САТУРН,Планета з широкими крижаними кільцями,6
МІСЯЦЬ,Природний супутник Землі,6
ЗОРЯ,Розжарена куля газу, що світиться власним світлом,4
ГАЛАКТИКА,Величезне скупчення зір, газу й пилу,9
ВСЕСВІТ,Весь простір з усіма зорями й галактиками,7
КОСМОС,Простір за межами земної атмосфери,6
АСТЕРОЇД,Невелике кам'яне тіло, що обертається навколо Сонця,8
КОМЕТА,Крижане тіло з яскравим хвостом біля Сонця,6
МЕТЕОР,Спалах від згорання тіла в атмосфері,6
МЕТЕОРИТ,Уламок тіла з космосу, що впав на поверхню,8
НЕВАГОМІСТЬ,Стан відсутності відчутної ваги в польоті,11
КОСМОДРОМ,Місце запуску космічних апаратів,9
СКАФАНДР,Захисний костюм для виходу в космос,8
ШАТЛ,Багаторазовий космічний корабель,4
СТАНЦІЯ,Орбітальний дім для тривалої роботи екіпажу,7
ОБСЕРВАТОРІЯ,Заклад для спостереження за небесними тілами,12
АСТРОНОМ,Науковець, що вивчає небесні тіла,8
АСТРОНАВТ,Той, хто літає в космос за західною назвою,9
ТУМАННІСТЬ,Хмара газу й пилу в космосі,10
ПУЛЬСАР,Зоря, що регулярно спалахує імпульсами випромінювання,7
КВАЗАР,Надзвичайно яскраве ядро далекої галактики,6
НАДНОВА,Зоря, що вибухає в кінці свого життя,7
КАРЛИК,Невелика тьмяна зоря,6
ЗАТЕМНЕННЯ,Тимчасове закриття одного світила іншим,10
ФАЗА,Видима форма освітленої частини Місяця,4
ПРИПЛИВ,Підйом рівня моря під впливом Місяця,7
ВІДПЛИВ,Спад рівня моря під впливом Місяця,7
АСТРОЛОГІЯ,Вчення про вплив світил на долю людини,10
ГОРОСКОП,Прогноз, складений за розташуванням світил,8
ЗОДІАК,Смуга неба з дванадцятьма сузір'ями,6
ПОЯС,Скупчення астероїдів між Марсом і Юпітером,4
ЕКЗОПЛАНЕТА,Планета за межами Сонячної системи,11
ВАГА,Сила тяжіння, що діє на тіло,4
ІЛЮМІНАТОР,Кругле віконце корабля чи літака,10
РАКЕТОНОСІЙ,Апарат, що виводить вантаж на орбіту,11
ЮПІТЕР,Найбільша планета Сонячної системи,6
ВЕНЕРА,Найгарячіша планета Сонячної системи,6
МАРС,Червона планета із сезонними полярними шапками,4
НЕПТУН,Найвіддаленіша від Сонця планета-гігант,6
ПЛУТОН,Карликова планета на краю Сонячної системи,6
УРАН,Планета, що обертається майже лежачи на боці,4
СУПУТНИК,Тіло, що обертається навколо планети,8
ОРБІТА,Шлях небесного тіла навколо іншого,6
ГРАВІТАЦІЯ,Сила, що утримує планети біля Сонця,10
ТЕЛЕСКОП,Прилад для наближеного розглядання далеких світил,8
ВИБУХ,Раптове й потужне вивільнення енергії у Всесвіті,5
ПОЛЮС,Крайня точка осі обертання небесного тіла,5
ЕКВАТОР,Уявна лінія, що ділить тіло навпіл між полюсами,7
ДОВГОТА,Кутова відстань від нульового меридіана,7
