word,clue,length
ВАЛІЗА,Тверда сумка для речей у подорож,6
РЮКЗАК,М'яка сумка, яку носять на спині,6
ПАСПОРТ,Документ для перетину кордону,7
ВІЗА,Дозвіл на в'їзд до чужої країни,4
КВИТОК,Документ на право проїзду чи входу,6
БАГАЖ,Речі, які подорожній бере із собою,5
МІТКА,Позначка для розпізнавання своїх речей,5
РОЗКЛАД,Таблиця часу відправлень і прибуттів,7
ПЛАТФОРМА,Місце посадки на потяг чи літак,9
ТУРИСТ,Той, хто подорожує заради відпочинку,6
ГІД,Той, хто супроводжує туристів,3
ЕКСКУРСІЯ,Організована подорож з оглядом визначних місць,9
ГОТЕЛЬ,Заклад для тимчасового проживання подорожніх,6
ПУТІВНИК,Книга з описом маршрутів і місць,8
СУВЕНІР,Річ на пам'ять про подорож,7
