word,clue,length
ПОГОДА,Стан атмосфери в певний момент і місці,6
СОНЦЕ,Зоря, що освітлює й зігріває Землю,5
ХМАРА,Скупчення водяної пари в небі,5
ХМАРНІСТЬ,Ступінь покриття неба хмарами,9
ДОЩ,Опади у вигляді крапель води,3
ЗЛИВА,Раптовий сильний короткочасний дощ,5
МРЯКА,Дрібний ледь помітний дощ,5
ТУМАН,Скупчення дрібних крапель біля землі, що приховує видимість,5
РОСА,Крапельки вологи на траві вранці,4
ІНІЙ,Білий крижаний наліт на поверхнях від холоду,4
ПАМОРОЗЬ,Пухнастий білий наліт на гілках у мороз,8
СНІГ,Опади у вигляді білих пластівців,4
СНІЖИНКА,Окремий візерунчастий кристалик снігу,8
ЗАМЕТІЛЬ,Сильний вітер зі снігом, що заносить дороги,8
ХУРТОВИНА,Сильна снігова буря з поганою видимістю,9
ЗАВІРЮХА,Снігова буря з поривами вітру,8
ГРАД,Опади у вигляді крижаних кульок,4
ОЖЕЛЕДИЦЯ,Крижана кірка на дорозі після відлиги,9
ВІТЕР,Рух повітряних мас над поверхнею,5
УРАГАН,Руйнівний тропічний вихор із дуже сильним вітром,6
ТОРНАДО,Вузький швидкісний вихор, що торкається землі лійкою,7
СМЕРЧ,Потужний вихор над сушею чи морем,5
БУРЯ,Стихійне явище із сильним вітром та опадами,4
ШТОРМ,Сильна буря на морі,5
ГРОЗА,Атмосферне явище з блискавкою й громом,5
БЛИСКАВКА,Яскравий електричний розряд у небі під час грози,9
ГРІМ,Гучний звук, що йде за блискавкою,4
ВЕСЕЛКА,Кольорова дуга в небі після дощу,7
СПЕКА,Дуже висока температура повітря,5
ПОСУХА,Тривала відсутність опадів,6
ПОВІНЬ,Затоплення місцевості через розлив річки,6
ПАВОДОК,Раптовий підйом рівня води в річці,7
ЗЕМЛЕТРУС,Коливання земної кори,9
ЦУНАМІ,Гігантська хвиля від підводного поштовху,6
ВИВЕРЖЕННЯ,Викид лави й попелу з надр гори,10
ЗСУВ,Сповзання ґрунту чи гірської породи вниз,4
ЛАВИНА,Маса снігу, що зривається з гори,6
ЕРОЗІЯ,Поступове руйнування поверхні вітром чи водою,6
СЯЙВО,Кольорове світіння неба в полярних широтах,5
АТМОСФЕРА,Повітряна оболонка планети,9
СТРАТОСФЕРА,Шар атмосфери над тропосферою,11
ТРОПОСФЕРА,Нижній шар атмосфери, де формується погода,10
ОЗОН,Газ, що захищає Землю від ультрафіолету,4
ПОТЕПЛІННЯ,Поступове підвищення середньої температури,10
ПОХОЛОДАННЯ,Поступове зниження середньої температури,11
МОРОЗ,Холод, за якого вода перетворюється на лід,5
ВІДЛИГА,Тимчасове потепління взимку з таненням снігу,7
ЛЬОДОВИК,Багаторічна маса льоду в горах чи на полюсах,8
АЙСБЕРГ,Величезна крижана брила, що плаває в морі,7
КРИГА,Замерзла вода в твердому стані,5
СВІТАНОК,Час появи сонця на обрії,8
ЗАХІД,Час зникнення сонця за обрієм,5
СХІД,Бік горизонту, де сходить сонце,4
СУТІНКИ,Напівтемрява після заходу сонця,7
ТЕМРЯВА,Повна відсутність світла,7
СВІТЛО,Випромінювання, що робить речі видимими,6
ГОРИЗОНТ,Лінія, де небо ніби торкається землі,8
ОПАДИ,Загальна назва дощу, снігу й граду,5
ВОЛОГІСТЬ,Кількість водяної пари в повітрі,9
