word,clue,length
МЯЧ,Кругла річ для гри ногами чи руками,3
ПЯТЬ,Число після чотирьох,4
ДЕВЯТЬ,Число після восьми,6
СІМЯ,Батьки й діти під одним дахом,4
КОМПЮТЕР,Машина для обробки даних на столі,8
ЗАПЯСТЯ,Суглоб між рукою і кистю,7
МЯСО,Тваринний продукт для страв,4
ПОЛУМЯ,Язики вогню,6
КАВЯРНЯ,Заклад, де п'ють каву за столиком,7
ІМЯ,Особисте слово, яким тебе звуть,3
ПЛЕМЯ,Спільнота людей одного роду й мови,5
СУЗІРЯ,Група зір, об'єднана уявним малюнком,6
ПОДВІРЯ,Ділянка землі перед хатою,7
УЗГІРЯ,Пологий схил між рівниною і горою,6
ЗДОРОВЯ,Стан організму без хвороб,7
КУРЄР,Той, хто доставляє посилки,5
ПЄСА,Драматичний твір для сцени,4
ОБЄМ,Кількість простору, яку займає тіло,4
СУБЄКТ,Той, хто діє чи мислить,6
ОБЄКТ,Те, на що спрямована дія,5
КАРЄР,Місце відкритого видобутку каменю чи піску,5
КАРЄРА,Просування по службових щаблях,6
ІНТЕРВЮ,Розмова журналіста з відомою особою,7
ПРЕМЄРА,Перший публічний показ твору,7
ПРЕМЄР,Голова уряду,6
ОБЄДНАННЯ,Злиття кількох частин в одне ціле,9
ЧЕРВЯК,Довга безнога повзуча істота,6
ВЄТНАМ,Країна в Південно-Східній Азії з рисовими полями,6
МЯНМА,Країна Південно-Східної Азії, колишня Бірма,5
ПЯТНИЦЯ,Останній робочий день тижня,7
ПЯТА,Задня частина стопи,4
ВЯЗАННЯ,Рукоділля спицями чи гачком,7
ЗВЯЗОК,Група ключів на одному кільці,6
ХОМЯК,Пухнастий гризун із защічними мішками,5
ВЯЗ,Високе дерево з видовженим листям,3
БУРЯН,Дика трава на городі чи пустирі,5
ПЄДЕСТАЛ,Підвищення для нагородження призерів,8
ВІДЇЗД,Момент залишення місця в дорогу,6
ВЇЗД,Місце проходу транспорту всередину,4
ДОВІРЯ,Переконаність у чиїйсь чесності,6
