word,clue,length
СОРОЧКА,Верхній одяг з коміром і ґудзиками спереду,7
ФУТБОЛКА,Легка одежина з коротким рукавом без коміра,8
СВИТЕР,В'язана тепла одежина через голову,6
КОФТА,В'язана легка кофтина із застібкою спереду,5
ПІДЖАК,Верхня частина костюма з рукавами й лацканами,6
ПАЛЬТО,Довгий верхній одяг для холодної погоди,6
КУРТКА,Коротший верхній одяг для прохолодної погоди,6
ПЛАЩ,Легкий верхній одяг від дощу,4
СПІДНИЦЯ,Жіночий одяг від талії донизу без штанин,8
СУКНЯ,Жіночий одяг, що поєднує ліф і спідницю,5
ШТАНИ,Одяг, що закриває кожну ногу окремо,5
ДЖИНСИ,Штани з міцної бавовняної тканини,6
КРАВАТКА,Смужка тканини, зав'язана вузлом на шиї,8
ШАРФ,Довга смужка тканини навколо шиї,4
ШАПКА,Теплий головний убір,5
КАШКЕТ,Головний убір з козирком і твердим верхом,6
КАПЕЛЮХ,Головний убір із крисами,7
ПАНАМА,Легкий літній головний убір з м'якими крисами,6
БЕРЕТ,Плаский м'який круглий головний убір без козирка,5
РУКАВИЧКИ,Одяг для рук з окремим місцем для кожного пальця,9
ШКАРПЕТКИ,Трикотажний одяг для стопи під взуттям,9
КОЛГОТКИ,Суцільний трикотажний одяг для ніг і стоп,8
ВЗУТТЯ,Загальна назва одягу для ніг,6
ЧЕРЕВИКИ,Взуття, що закриває стопу й частину гомілки,8
ТУФЛІ,Легке закрите взуття без високого халяви,5
САНДАЛІ,Легке відкрите літнє взуття з ремінцями,7
КАПЦІ,М'яке домашнє взуття,5
ЧОБОТИ,Високе взуття, що закриває гомілку,6
ПІДБОР,Задня піднята частина підошви взуття,6
ШНУРОК,Тонка мотузка для затягування черевика,6
РЕМІНЬ,Смужка шкіри для утримання штанів на талії,6
ПРЯЖКА,Металева застібка на ремені чи взутті,6
ҐУДЗИК,Кругла застібка на нитці для одягу,6
КИШЕНЯ,Пришитий мішечок для дрібних речей в одязі,6
КОМІР,Частина одягу навколо шиї,5
РУКАВ,Частина одягу, що закриває руку,5
МАНЖЕТА,Смужка тканини на кінці рукава,7
КАПЮШОН,Знімний головний убір, пришитий до коміра,7
ПІДКЛАДКА,Внутрішній шар одягу,9
ТКАНИНА,Матеріал, виготовлений із переплетених ниток,7
БАВОВНА,Рослинне волокно для легкої тканини,7
ШОВК,Тонка блискуча тканина з ниток гусениць-коконоплетів,4
ВОВНА,Волокно з шерсті овець для теплого одягу,5
ЛЬОН,Рослинне волокно для міцної літньої тканини,4
ШКІРА,Матеріал зі шкур тварин для одягу й взуття,5
ХУТРО,Шкура з густою шерстю для теплого одягу,5
МОДА,Панівні смаки в одязі певного часу,4
ТРЕНД,Актуальний напрямок у моді,5
КОЛЕКЦІЯ,Набір моделей одягу одного сезону,8
ПОДІУМ,Місце показу моделей одягу,6
МОДЕЛЬ,Особа, що демонструє одяг на показі,6
МАНЕКЕН,Фігура для демонстрації одягу без людини,7
ВІТРИНА,Скляна поверхня магазину для показу товару,7
АКСЕСУАР,Доповнення до вбрання, що не є одягом,8
ПРИКРАСА,Виріб для оздоблення зовнішності,8
КАБЛУЧКА,Прикраса на палець руки,8
СЕРЕЖКА,Прикраса для мочки вуха,7
НАМИСТО,Прикраса з нанизаних на нитку кульок на шиї,7
БРАСЛЕТ,Прикраса на зап'ястя,7
БРОШКА,Прикраса, що кріпиться голкою до одягу,6
ПАРАСОЛЬКА,Розкладний захист від дощу над головою,10
СУМКА,Виріб для перенесення особистих речей,5
РЮКЗАК,Сумка, яку носять на спині за лямки,6
ГАМАНЕЦЬ,Невеликий виріб для грошей і карток,8
ВАЛІЗА,Велика тверда сумка для подорожей,6
