word,clue,length
БОКС,Єдиноборство ударами кулаків,4
КАРАТЕ,Японське бойове мистецтво ударів руками й ногами,6
ДЗЮДО,Японська боротьба без ударів, з кидками,5
САМБО,Радянська боротьба самозахисту без зброї,5
ФЕХТУВАННЯ,Двобій на шпагах чи шаблях,10
БОРЕЦЬ,Спортсмен єдиноборства без ударів,6
РИНГ,Огороджений майданчик для бою,4
ТАТАМІ,Мат для занять східними єдиноборствами,6
ПОЯС,Знак рівня майстерності в бойових мистецтвах,4
НОКАУТ,Стан, коли боєць не може продовжити бій,6
УДАР,Різкий силовий рух рукою чи ногою,4
ЗАХВАТ,Прийом утримання суперника,6
КИДОК,Прийом валяння суперника на землю,5
ХВАТКА,Прийом фіксації руками,6
ТРЕНЕР,Той, хто готує спортсмена,6
