word,clue,length
УРОК,Навчальне заняття за розкладом,4
ПЕРЕРВА,Коротка пауза між уроками,7
ДЗВІНОК,Сигнал про початок чи кінець уроку,7
ДОМАШНЄ,Завдання ..., яке виконують після школи,7
КОНТРОЛЬНА,Робота ... для перевірки знань,10
ІСПИТ,Підсумкова перевірка знань,5
ЗАЛІК,Форма підсумкового оцінювання без оцінки в балах,5
ОЦІНКА,Числове чи словесне вираження рівня знань,6
ЩОДЕННИК,Зошит для записів оцінок і розкладу,8
АТЕСТАТ,Документ про закінчення школи,7
ДИПЛОМ,Документ про закінчення вищого навчального закладу,6
СТУДЕНТ,Той, хто навчається у виші,7
ВИКЛАДАЧ,Той, хто читає лекції у виші,8
ЛЕКЦІЯ,Усний виклад навчального матеріалу,6
СЕМІНАР,Практичне заняття з обговоренням,7
