word,clue,length
НАМЕТ,Переносне житло з тканини для ночівлі,5
СПАЛЬНИК,Утеплений мішок для сну на природі,8
РЮКЗАК,Сумка, яку носять на спині,6
БАГАТТЯ,Вогонь, розкладений на природі,7
КОТЕЛОК,Посудина для варіння на вогні,7
КОМПАС,Прилад для визначення сторін світу,6
ЛІХТАРИК,Портативне джерело світла,8
СОКИРА,Знаряддя для рубання дерева,6
МОТУЗКА,Плетений виріб для зв'язування,7
ФЛЯГА,Плоска посудина для води в поході,5
ТУРИСТ,Той, хто подорожує заради відпочинку,6
СТЕЖКА,Вузька утоптана дорога в лісі,6
ПРИВАЛ,Зупинка для відпочинку в поході,6
КАРЕМАТ,Тонкий килимок для сну на землі,7
БІНОКЛЬ,Оптичний прилад для розгляду далеких предметів,7
