word,clue,length
РЕНЕСАНС,Епоха відродження античних ідеалів у мистецтві,8
БАРОКО,Пишний і динамічний стиль сімнадцятого століття,6
РОКОКО,Вишуканий легкий стиль вісімнадцятого століття,6
КЛАСИЦИЗМ,Стиль, що наслідує античні зразки,9
РОМАНТИЗМ,Стиль з акцентом на почуття й уяву,9
РЕАЛІЗМ,Стиль точного відображення дійсності,7
ІМПРЕСІОНІЗМ,Стиль, що передає миттєве враження світлом і кольором,12
КУБІЗМ,Стиль розкладання форм на геометричні площини,6
СЮРРЕАЛІЗМ,Стиль поєднання сну й реальності,10
ФУТУРИЗМ,Стиль, що оспівує швидкість і техніку,8
ДАДАЇЗМ,Бунтарський стиль заперечення традиційних норм,7
МІНІМАЛІЗМ,Стиль гранично скупих виражальних засобів,10
АВАНГАРД,Загальна назва новаторських напрямів початку століття,8
МОДЕРНІЗМ,Широкий напрям оновлення форм на межі століть,9
ГОТИКА,Середньовічний стиль зі стрілчастими арками,6
АНТИЧНІСТЬ,Епоха давньої Греції та Риму,10
ПЕНЗЕЛЬ,Знаряддя з ворсом для нанесення фарби,7
ПАЛІТРА,Дощечка для змішування фарб,7
МОЛЬБЕРТ,Підставка для полотна під час малювання,8
ПОЛОТНО,Тканинна основа для картини,7
ФАРБА,Барвиста речовина для малювання,5
АКВАРЕЛЬ,Водорозчинна прозора фарба,8
ГУАШ,Непрозора клейова фарба,4
ПАСТЕЛЬ,М'які кольорові крейдяні олівці,7
ВУГІЛЛЯ,Чорний матеріал для начерків,7
КРЕЙДА,М'який матеріал для малювання на дошці,6
ТУШ,Чорна рідка фарба для пера чи пензля,3
ПЕРО,Загострене знаряддя для письма чи малювання тушшю,4
МАСТИХІН,Плаский ножик для нанесення густої фарби,8
СКУЛЬПТУРА,Об'ємний твір, витесаний чи виліплений,10
СТАТУЯ,Об'ємне зображення постаті,6
БЮСТ,Скульптурне зображення голови й плечей,4
БАРЕЛЬЄФ,Опукле зображення, що ледь виступає з площини,8
ГОРЕЛЬЄФ,Опукле зображення, що виступає більш ніж наполовину,8
МАРМУР,Благородний білий камінь для статуй,6
ГРАНІТ,Твердий камінь для монументів,6
ГЛИНА,М'який матеріал для ліплення,5
ГІПС,Матеріал для форм і зліпків,4
РІЗЬБА,Візерунок, вирізаний у дереві чи камені,6
КЕРАМІКА,Вироби з випаленої глини,8
ТЕРАКОТА,Випалена неглазурована глина рудувато-коричневого кольору,8
ХУДОЖНИК,Той, хто створює твори малярства,8
СКУЛЬПТОР,Той, хто ліпить чи висікає об'ємні форми,9
ЖИВОПИСЕЦЬ,Майстер малювання фарбами,10
ГРАФІК,Майстер малюнка лінією й штрихом,6
ІЛЮСТРАТОР,Той, хто створює малюнки до тексту,10
РЕСТАВРАТОР,Той, хто відновлює пошкоджені твори,11
КУРАТОР,Той, хто організовує виставку,7
КОЛЕКЦІОНЕР,Той, хто збирає твори мистецтва,11
КОМПОЗИЦІЯ,Розташування елементів твору,10
ПЕРСПЕКТИВА,Спосіб передачі глибини простору на площині,11
СИМЕТРІЯ,Дзеркальна відповідність частин твору,8
КОНТРАСТ,Різке протиставлення світлого й темного,8
ВІДТІНОК,Різновид кольору за яскравістю чи чистотою,8
КОЛОРИТ,Загальний характер поєднання кольорів твору,7
СИЛУЕТ,Суцільна темна пляма контуру постаті,6
ПОРТРЕТ,Зображення обличчя й постаті людини,7
ПЕЙЗАЖ,Зображення природи,6
НАТЮРМОРТ,Зображення нерухомих предметів побуту,9
АВТОПОРТРЕТ,Зображення митця самого себе,11
ЕСКІЗ,Попередній начерк майбутнього твору,5
НАЧЕРК,Швидкий незавершений малюнок,6
ФРЕСКА,Розпис по вологій штукатурці,6
МОЗАЇКА,Зображення з дрібних кольорових шматочків,7
ВІТРАЖ,Зображення з кольорового скла у вікні,6
ГРАВЮРА,Відбиток із вирізаного зображення,7
ОФОРТ,Різновид гравюри на металі, витравленої кислотою,5
ЛІТОГРАФІЯ,Друк зображення з каменю чи плити,10
КОЛАЖ,Твір, складений з наклеєних різних матеріалів,5
ІНСТАЛЯЦІЯ,Просторова художня композиція з різних об'єктів,10
ПЕРФОРМАНС,Художня дія перед публікою,10
ВИСТАВКА,Публічний показ творів мистецтва,8
ГАЛЕРЕЯ,Заклад для показу й продажу творів мистецтва,7
МУЗЕЙ,Заклад для зберігання й показу історичних цінностей,5
АУКЦІОН,Продаж творів тому, хто дасть найбільшу ціну,7
ОРИГІНАЛ,Первісний авторський твір,8
РЕПРОДУКЦІЯ,Друкована копія твору мистецтва,11
ПІДРОБКА,Твір, видаваний за оригінал,8
РАМА,Обрамлення картини,4
ХОЛСТ,Тканинна основа для картини,5
МІКЕЛАНДЖЕЛО,Автор розпису Сікстинської капели та статуї Давида,12
РАФАЕЛЬ,Автор мадонн епохи Ренесансу,7
ТІЦІАН,Венеційський майстер кольору доби Ренесансу,6
КАРАВАДЖО,Майстер драматичного контрасту світла й тіні,9
РЕМБРАНДТ,Голландський майстер світлотіні й автопортретів,9
ВЕРМЕЕР,Автор картини з дівчиною в перловій сережці,7
ГОЙЯ,Іспанський майстер похмурих пізніх капричос,4
МАНЕ,Французький новатор, що шокував публіку Сніданком на траві,4
МОНЕ,Засновник імпресіонізму, автор серії Латаття,4
РЕНУАР,Імпресіоніст, що оспівував радість життя й жіночу красу,6
ДЕГА,Імпресіоніст, що часто зображував балерин,4
СЕЗАНН,Майстер, якого називають батьком постімпресіонізму,6
ГОГЕН,Художник, що оселився на таїтянських островах,5
МАТІСС,Майстер яскравого кольору й вирізок з паперу,6
ПІКАССО,Засновник кубізму й автор Герніки,7
ДАЛІ,Сюрреаліст з м'якими годинниками,4
МУНК,Автор картини з людиною, що кричить на мосту,4
КЛІМТ,Австрійський майстер золотих орнаментальних полотен,5
ШАГАЛ,Художник із летючими закоханими й рідним містечком,5
МАЛЕВИЧ,Автор Чорного квадрата, засновник супрематизму,7
МУРИЛЬО,Іспанський майстер релігійних сюжетів,7
КОНСТЕБЛ,Англійський майстер сільських пейзажів,8
ТЕРНЕР,Англійський майстер туманних морських краєвидів,6
УОРХОЛ,Засновник поп-арту з банками супу,6
ПОЛЛОК,Майстер абстрактного розбризкування фарби,6
КАЛО,Мексиканська художниця з автопортретами й монобрів'ю,4
ДЮРЕР,Німецький майстер гравюри доби Ренесансу,5
БОСХ,Нідерландський майстер фантастичних пекельних сцен,4
МУРАШКО,Український живописець-портретист доби модерну,7
ПИМОНЕНКО,Український художник, що оспівував сільське життя,9
НАРБУТ,Український графік, майстер книжкової ілюстрації,6
