word,clue,length
РЕЖИСЕР,Той, хто керує зйомками фільму,7
СЦЕНАРИСТ,Той, хто пише текст майбутнього фільму,9
ПРОДЮСЕР,Той, хто фінансує й організовує зйомки,8
ОПЕРАТОР,Той, хто знімає фільм камерою,8
МОНТАЖЕР,Той, хто склеює відзняті кадри в цілісний фільм,8
ГРИМЕР,Той, хто змінює обличчя актора перед камерою,6
КОСТЮМЕР,Той, хто добирає одяг для знімальної групи,8
КАСКАДЕР,Той, хто виконує небезпечні трюки замість актора,8
ДУБЛЕР,Той, хто озвучує роль іншою мовою,6
СТАТИСТ,Актор без реплік у масовій сцені,7
АКТОР,Той, хто виконує роль перед камерою,5
ЗІРКА,Знаменитий і впізнаваний виконавець,5
ЗНАМЕНИТІСТЬ,Широко відома публічна особа,12
ШАНУВАЛЬНИК,Відданий прихильник артиста чи фільму,11
РЕЦЕНЗІЯ,Критичний відгук на фільм,8
КАДР,Один знімок кіноплівки,4
ДУБЛЬ,Повторне знімання однієї сцени,5
МОНТАЖ,Склеювання окремих кадрів у фільм,6
ДЕКОРАЦІЯ,Штучне оформлення знімального майданчика,9
РЕКВІЗИТ,Предмети, потрібні для сцени зйомки,8
ГРИМ,Косметика для зміни зовнішності актора,4
КОСТЮМ,Одяг персонажа для ролі,6
СЦЕНАРІЙ,Текстова основа майбутнього фільму,8
КАМЕРА,Прилад для запису рухомого зображення,6
ШТАТИВ,Опора для стійкого положення камери,6
МІКРОФОН,Прилад для запису звуку на майданчику,8
ОСВІТЛЕННЯ,Штучне світло на знімальному майданчику,10
ТИТРИ,Текст із іменами знімальної групи наприкінці,5
СУБТИТРИ,Текст перекладу внизу екрана,8
ДУБЛЯЖ,Заміна оригінальних голосів іншою мовою,6
ОЗВУЧЕННЯ,Додавання голосів і звуків до зображення,9
СЕРІАЛ,Багатосерійний твір для екрана,6
ЕПІЗОД,Окрема частина серіалу,6
СТУДІЯ,Приміщення для зйомок і запису,6
ПАВІЛЬЙОН,Критий знімальний майданчик,9
ЗНІМАННЯ,Процес фіксації сцен на камеру,8
КАСТИНГ,Відбір акторів на ролі,7
РОЛЬ,Персонаж, якого втілює актор,4
МАСОВКА,Група статистів у фоновій сцені,7
КАМЕО,Коротка поява знаменитості під власним ім'ям,5
ФЛЕШБЕК,Уривок, що показує події минулого,7
СИКВЕЛ,Продовження попереднього фільму,6
ПРИКВЕЛ,Історія подій, що передували фільму,7
ФРАНШИЗА,Серія пов'язаних фільмів чи продуктів,8
РЕМЕЙК,Новий фільм за сюжетом старого,6
ЕКРАНІЗАЦІЯ,Фільм, знятий за літературним твором,11
БЛОКБАСТЕР,Надзвичайно касовий фільм,10
АРТХАУС,Некомерційне авторське кіно,7
ВЕСТЕРН,Фільм про життя на американському Дикому Заході,7
БОЙОВИК,Фільм із динамічними сутичками й погонями,7
МЮЗИКЛ,Фільм чи вистава з піснями й танцями,6
МУЛЬТФІЛЬМ,Анімаційна стрічка для дітей,10
АНІМЕ,Японська мальована анімація,5
МУЛЬТСЕРІАЛ,Багатосерійний анімаційний твір,11
СИТКОМ,Комедійний серіал зі стандартними ситуаціями,6
ТЕЛЕСЕРІАЛ,Серіал, знятий спеціально для телебачення,10
ТЕЛЕКАНАЛ,Мовник, що транслює передачі й фільми,9
ЕФІР,Час трансляції передачі в мовленні,4
НОМІНАЦІЯ,Висування на здобуття нагороди,9
ФЕСТИВАЛЬ,Огляд-конкурс фільмів,9
КІНОТЕАТР,Заклад для перегляду фільмів на великому екрані,9
КІНОЗАЛ,Приміщення з екраном для показу фільмів,7
ПОПКОРН,Смажені кукурудзяні зерна - традиційна закуска в кіно,7
КВИТОК,Документ на право входу на сеанс,6
ЖАХИ,Жанр, що лякає й тримає в напрузі,4
АНІМАЦІЯ,Техніка оживлення нерухомих малюнків,8
ТРЕЙЛЕР,Короткий рекламний ролик майбутнього фільму,7
СПЕЦЕФЕКТИ,Штучно створені видовищні елементи кадру,10
ХРОНОМЕТРАЖ,Тривалість фільму в часі,11
ПЕРСОНАЖ,Дійова особа фільму,8
ВІДЕОРЯД,Послідовність зображень у фільмі,8
СПІЛБЕРГ,Режисер акул, динозаврів і прибульців,8
ТАРАНТІНО,Режисер з нелінійним монтажем і потоками крові,9
СКОРСЕЗЕ,Режисер гангстерських драм про Нью-Йорк,8
КУБРИК,Режисер Космічної одіссеї й Сяйва,6
НОЛАН,Режисер, що обожнює заплутану хронологію сюжету,5
КЕМЕРОН,Режисер про потонулий лайнер і планету На'ві,7
ЛУКАС,Творець саги про війни зірок,5
КОППОЛА,Режисер саги про мафіозну родину,7
ФІНЧЕР,Режисер похмурих психологічних трилерів,6
БЕРТОН,Режисер із готичною естетикою й ножицями замість рук,6
ДЕПП,Актор, що зіграв дивакуватого пірата,4
ХЕНКС,Актор, що виконав роль капітана корабля й форестагампа,5
СТРІП,Найтитулованіша актриса за версією кіноакадемії,5
ПІТТ,Актор, співвласник продюсерської компанії Plan B,4
КЛУНІ,Актор і режисер, колишній лікар із серіалу,5
ВІЛЛІС,Актор бойовиків з лисою головою,6
СТАЛЛОНЕ,Актор і режисер, автор боксерської саги про італійського жеребця,8
ОСКАР,Найпрестижніша кінонагорода США у формі золотої статуетки,5
ЕММІ,Найпрестижніша нагорода в галузі телебачення,4
КАННИ,Французьке місто найвідомішого кінофестивалю,5
ГОЛІВУД,Всесвітня столиця кіноіндустрії в Каліфорнії,7
БОЛІВУД,Індійська кіноіндустрія, більша за Голлівуд за обсягом,7
