word,clue,length
КЕНГУРУ,Сумчаста тварина, що пересувається стрибками,7
КОАЛА,Сумчаста тварина, що харчується листям евкаліпта,5
КАЗУАР,Великий нелітаючий птах з роговим гребенем,6
ЕМУ,Другий за величиною нелітаючий птах у світі,3
ВОМБАТ,Кремезна сумчаста тварина, що риє нори,6
ДИЯВОЛ,"Тасманійський ..., хижий сумчастий звір з гострими зубами",6
ДИНГО,Дикий австралійський пес,5
ЄХИДНА,Колючий яйцекладний ссавець,6
ПЛАТИПУС,Яйцекладний ссавець з дзьобом качки,8
КВОЛ,Дрібний плямистий хижий сумчастий звір,4
ПОСУМ,Деревна сумчаста тварина,5
ТАЙПАН,Одна з найотруйніших змій світу,6
КУКАБАРА,Птах з гучним сміхоподібним криком,8
БУМЕРАНГ,Метальна зброя, що повертається до кидача,8
КОРАЛОВИЙ,Риф ... біля узбережжя Австралії,9
