word,clue,length
ВУДКА,Знаряддя рибалки з волосінню й гачком,5
ГАЧОК,Зігнутий металевий предмет для приманки риби,5
ВОЛОСІНЬ,Тонка міцна нитка на вудці,8
ПОПЛАВОК,Плаваючий сигналізатор поклювання,8
ВЕРША,Плетена пастка для риби,5
НЕВІД,Велика сітка для лову риби,5
ГАРПУН,Списоподібна зброя для лову риби під водою,6
ПРИМАНКА,Те, що приваблює здобич,8
КАПКАН,Пастка з металевими щелепами,6
ПАСТКА,Пристрій для впіймання здобичі,6
МИСЛИВЕЦЬ,Той, хто полює на звірів,9
ЄГЕР,Доглядач мисливських угідь,4
РУШНИЦЯ,Вогнепальна зброя мисливця,7
ПАТРОНТАШ,Сумка для набоїв через плече,9
ЗАСІДКА,Прихована позиція для чекання здобичі,7
