word,clue,length
КОСМОНАВТ,Той, хто летить у космос,9
СКАФАНДР,Захисний костюм для виходу в космос,8
НЕВАГОМІСТЬ,Стан відсутності відчутної ваги,11
СТИКОВКА,З'єднання двох космічних апаратів,8
ОРБІТАЛЬНА,Станція ..., що обертається навколо Землі,10
ШАТЛ,Багаторазовий космічний корабель,4
СТАРТ,Момент запуску ракети,5
ПРИЗЕМЛЕННЯ,Повернення апарата на поверхню,11
АНТЕНА,Пристрій для зв'язку з Землею,6
ІЛЮМІНАТОР,Кругле вікно космічного апарата,10
МІСЯЦЕХІД,Колісний апарат для розвідки супутника Землі,9
ЗОНД,Апарат для дослідження без екіпажу,4
ГРАВІТАЦІЯ,Сила земного тяжіння,10
СТАРТОВИЙ,Майданчик ... для запуску ракети,9
НАСА,Американська космічна агенція,4
