word,clue,length
ЛИЖІ,Довгі планки для ковзання по снігу,4
КОВЗАНИ,Взуття з лезом для руху по льоду,7
САНКИ,Засіб для катання по снігу,5
СНІГОХІД,Транспортний засіб для руху по снігу,8
СЛАЛОМ,Швидкісний спуск між прапорцями,6
БІАТЛОН,Лижна гонка зі стрільбою,7
КЕРЛІНГ,Гра з ковзанням каменів по льоду,7
ХОКЕЇСТ,Гравець з ключкою на льоду,7
ШАЙБА,Гумовий диск у хокеї,5
КЛЮЧКА,Вигнута палиця для гри в хокей,6
ФІГУРИСТ,Спортсмен, що виконує фігури на льоду,8
БОБСЛЕЙ,Спуск на керованих санях командою,7
СНІГОВИК,Фігура зі снігу у вигляді людини,8
ЛАВИНА,Раптовий сповз снігу з гори,6
СУГРОБ,Купа наметеного снігу,6
