word,clue,length
ЗЕВС,Верховний бог грецького пантеону на Олімпі,4
ГЕРА,Дружина верховного бога, покровителька шлюбу,4
ПОСЕЙДОН,Бог морів і землетрусів із тризубом,8
АЇД,Володар підземного царства мертвих,3
АФІНА,Богиня мудрості й справедливої війни,5
АПОЛЛОН,Бог сонця, музики та пророцтв,7
АРТЕМІДА,Богиня полювання та місяця,8
АРЕС,Бог жорстокої війни,4
АФРОДІТА,Богиня кохання й краси, народжена з піни моря,8
ГЕФЕСТ,Кульгавий бог ковальства та вогню,6
ГЕРМЕС,Прудкий вісник богів у крилатих сандалях,6
ДЕМЕТРА,Богиня родючості та врожаю,7
ГЕСТІЯ,Богиня домашнього вогнища,6
ДІОНІС,Бог виноробства та театральних свят,6
ПЕРСЕФОНА,Богиня, що півроку живе в підземному царстві,9
ГЕЯ,Уособлення матері-землі,3
УРАН,Уособлення небес, батько титанів,4
КРОНОС,Титан часу, що поглинав власних дітей,6
АТЛАНТ,Титан, що тримає небесне склепіння на плечах,6
ПРОМЕТЕЙ,Титан, що подарував людям вогонь,8
ПАНДОРА,Перша жінка, що відкрила скриньку з лихами,7
ГІПНОС,Бог сну,6
ТАНАТОС,Уособлення смерті,7
МОРФЕЙ,Бог сновидінь,6
ІРИДА,Богиня-вісниця, уособлення веселки,5
НЕМЕЗИДА,Богиня відплати за пихатість,8
ГЕКАТА,Богиня чаклунства й перехресть,6
ПАН,Бог лісів і пастухів із козячими ногами,3
ХАОС,Первісний стан безмежної порожнечі,4
ТАРТАР,Найглибша безодня підземного світу,6
НАРЦИС,Юнак, що закохався у власне відображення,6
ПЕРСЕЙ,Герой, що відрубав голову горгоні,6
ГЕРАКЛ,Герой, що здійснив дванадцять подвигів,6
ТЕСЕЙ,Герой, що вбив чудовисько в лабіринті,5
ЯСОН,Ватажок мореплавців за золотим руном,4
АХІЛЛ,Найбільший воїн під Троєю з вразливою п'ятою,5
ГЕКТОР,Найхоробріший захисник Трої,6
ПАРІС,Троянський царевич, що викрав спартанську царицю,5
ОДІССЕЙ,Хитромудрий цар, що десять років повертався додому,7
АГАМЕМНОН,Верховний вождь ахейського війська під Троєю,9
МЕНЕЛАЙ,Спартанський цар, чию дружину викрали,7
ПЕНЕЛОПА,Вірна дружина, що чекала мандрівника двадцять років,8
МЕДУЗА,Горгона зі зміями замість волосся,6
МІНОТАВР,Чудовисько з тілом людини й головою бика,8
КЕНТАВР,Істота з тулубом коня й торсом людини,7
СИРЕНА,Морська істота, що зваблює моряків співом,6
ГАРПІЯ,Крилата істота з обличчям жінки й тілом птаха,6
СФІНКС,Істота з тілом лева й головою людини, що загадує загадки,6
КЕРБЕР,Трипсоглавий пес біля воріт підземного царства,6
ГІДРА,Багатоголова змія, що відрощує нові голови,5
ПЕГАС,Крилатий кінь, що народився з крові горгони,5
ХИМЕРА,Чудовисько з частинами лева, кози й змії,6
ЦИКЛОП,Одноокий велетень-коваль,6
ТИТАН,Прадавнє божество до появи олімпійців,5
НІМФА,Молодша богиня природи - річки, лісу чи гори,5
ОРАКУЛ,Жрець чи місце, де давали пророцтва,6
МУЗА,Богиня-натхненниця мистецтв,4
КАССАНДРА,Пророчиця, чиїм передбаченням ніхто не вірив,9
АНДРОМЕДА,Царівна, прикута до скелі на поталу чудовиську,9
АРГОНАВТ,Учасник плавання за золотим руном,8
ІКАР,Юнак, що злетів на воскових крилах до сонця,4
ДЕДАЛ,Майстер, що збудував лабіринт і крила,5
ЕДІП,Цар, що ненавмисно виконав жахливе пророцтво,4
ОРФЕЙ,Співець, що спускався в підземне царство за коханою,5
ЕВРІДІКА,Німфа, яку співець намагався врятувати з підземного світу,8
ЮПІТЕР,Верховний бог римського пантеону,6
ЮНОНА,Римська покровителька шлюбу й жінок,5
НЕПТУН,Римський володар морів,6
ПЛУТОН,Римський володар підземного царства,6
МІНЕРВА,Римська богиня мудрості й ремесел,7
ДІАНА,Римська богиня полювання й місяця,5
МАРС,Римський бог війни,4
ВЕНЕРА,Римська богиня кохання й краси,6
ВУЛКАН,Римський бог вогню й ковальства,6
МЕРКУРІЙ,Прудкий римський вісник богів,8
ЦЕРЕРА,Римська богиня врожаю,6
ВЕСТА,Римська богиня домашнього вогнища,5
ВАКХ,Римський бог виноробства й веселощів,4
КУПІДОН,Крилатий бог кохання зі стрілами,7
ФОРТУНА,Богиня випадку й талану,7
ФАВН,Римський бог лісів і пасовищ із козячими ногами,4
ФЛОРА,Римська богиня квітів і весни,5
ЯНУС,Дволикий бог початків і воріт,4
РОМУЛ,Легендарний засновник Рима, вигодуваний вовчицею,5
АВРОРА,Богиня вранішньої зорі,6
ПЕРУН,Верховний слов'янський громовержець,5
ДАЖБОГ,Слов'янський бог сонця й дарувальник благ,6
СВАРОГ,Слов'янський бог неба й ковальства,6
СТРИБОГ,Слов'янський бог вітрів,7
ВЕЛЕС,Слов'янський бог худоби й потойбіччя,5
МОКОША,Слов'янська богиня жіночого рукоділля й долі,6
ЛАДА,Слов'янська богиня краси й злагоди,4
ЯРИЛО,Слов'янський бог весняної сили й родючості,5
ХОРС,Слов'янське божество сонячного диска,4
БЕРЕГИНЯ,Дух-охоронниця роду й оселі,8
КОЩІЙ,Безсмертний лиходій із казок, чия смерть у голці,5
ЗМІЙ,Крилате вогнедишне чудовисько з казок,4
ВОВКУЛАКА,Людина, що обертається на вовка,9
УПИР,Нічний мрець, що п'є кров живих,4
НЯВКА,Лісова спокусниця з дірою на спині за карпатським повір'ям,5
ВИРІЙ,Казкова тепла країна, куди відлітають птахи взимку,5
ПАНТЕОН,Сукупність усіх богів певного народу,7
ОЛІМП,Гора, де мешкали грецькі боги,5
ПОТОЙБІЧЧЯ,Світ мертвих за віруваннями,10
БЕЗСМЕРТЯ,Вічне життя без старіння й смерті,9
ПРОРОЦТВО,Передбачення майбутнього,9
ПРОКЛЯТТЯ,Магічне побажання лиха,9
МАГІЯ,Надприродний вплив на світ,5
ЧАКЛУНСТВО,Уміння впливати на світ надприродним шляхом,10
БОГИНЯ,Жіноче божество,6
НАПІВБОГ,Нащадок бога й смертної людини,8
ГІГАНТ,Величезний прадавній велетень, що воював з богами,6
АМБРОЗІЯ,Їжа безсмертних богів,8
НЕКТАР,Напій богів Олімпу,6
ЛАБІРИНТ,Заплутана споруда з ходами, де жив мінотавр,8
